SR   obs    bkg    bkg_err  S95_obs  S95_exp  
IM1  21447  21730  940      1572     1731     
IM2  11975  12340  570      850      1077     
IM3  6433   6570   340      552      651      
IM4  3494   3390   200      463      386      
IM5  1170   1125   77       193      164      
IM6  423    441    39       69       81       
IM7  185    167    20       59       47       
EM1  9472   9400   410      843      807      
EM2  5542   5770   260      369      488      
EM3  2939   3210   170      185      310      
EM4  2324   2260   140      323      278      
EM5  747    686    50       157      111      
EM6  238    271    28       39       55       
