SR        obs  bkg   bkg_err  S95_obs  S95_exp  
SRA-TT    11   8.6   2.1      10.6     8.3      
SRA-TW    9    9.3   2.2      8.1      8.3      
SRA-T0    18   18.7  2.7      10.4     10.8     
SRB-TT    38   39.3  7.6      17.9     19.3     
SRB-TW    53   52.4  7.4      20.7     20.5       
SRB-T0    206  179   26       76       57       
SRC1      20   20.5  6.6      14.1     14.9     
SRC2      22   27.6  4.9      10.4     13.5     
SRC3      22   18.9  3.4      14.3     12.7     
SRC4      1    7.7   1.2      5.2      6.8      
SRC5      0    0.9   0.7      3.0      3.2      
SRD-low   27   25.1  6.2      16.7     15.9     
SRD-high  11   8.5   1.5      9.9      7.7      
SRE       3    3.6   0.8      4.8      5.5      
