SR           obs  bkg   bkg_err  S95_obs  S95_exp  
SRI-MLL-03   1    1.7   0.9      3.6      4.3      
SRI-MLL-05   4    3.1   1.2      6.5      5.5      
SRI-MLL-10   12   8.9   2.5      11.4     9.3      
SRI-MLL-20   34   29    6        20       17       
SRI-MLL-30   40   38    6        19       18       
SRI-MLL-40   48   41    7        26       20       
SRI-MLL-60   52   43    7        27       20       
SRI-MT2-102  8    12.4  3.1      6.6      8.8      
SRI-MT2-105  34   38    7        15       18       
SRI-MT2-110  131  129   18       42       40       
SRI-MT2-120  215  232   29       47       58       
SRI-MT2-130  257  271   32       54       64       
SRI-MT2-999  277  289   33       59       66       
SRE-MLL-03   0    0.01  0.1      2.97     2.99     
SRE-MLL-05   1    0.6   0.7      3.8      3.5      
SRE-MLL-10   1    2.4   1        3.6      4.5      
SRE-MLL-20   10   8.3   1.6      9.0      7.7      
SRE-MLL-30   4    4.0   1.0      5.9      5.8      
SRE-MLL-40   6    2.4   0.6      9.1      5.2      
SRE-MLL-60   2    1.4   0.5      4.6      4.0      
SRM-MLL-03   1    1.1   0.6      3.6      3.6      
SRM-MLL-05   2    1.3   0.6      4.6      4.1      
SRM-MLL-10   7    4.9   1.3      8.5      6.6      
SRM-MLL-20   12   13.1  2.2      8.5      9.4      
SRM-MLL-30   2    4.2   1        3.9      5.5      
SRM-MLL-40   2    1.4   0.6      4.4      4.1      
SRM-MLL-60   2    1.6   0.6      4.4      4.2      
SRE-MT2-102  3    3.5   1.2      5.0      5.5      
SRE-MT2-105  10   11    2        8        8        
SRE-MT2-110  37   33    4        18       15       
SRE-MT2-120  42   42    4        16       16       
SRE-MT2-130  10   15.7  2        6.2      9.7      
SRE-MT2-999  7    7.5   1.1      6.7      7.1      
SRM-MT2-102  5    6.8   1.5      5.7      6.8      
SRM-MT2-105  16   15    2.1      11       10       
SRM-MT2-110  60   57    5        21       19       
SRM-MT2-120  42   53    4        10       17       
SRM-MT2-130  32   24.9  2.9      19.2     13.1     
SRM-MT2-999  13   11    1.4      10       8        
