SR               obs  bkg   bkg_errp  bkg_errm  S95_obs  S95_exp  
S-2l0j-DF-100    78   68    7         7         31       23       
S-2l0j-DF-150    11   11.5  3.1       3.1       9.4      9.4      
S-2l0j-DF-200    6    2.1   1.9       1.9       10.5     8.1      
S-2l0j-DF-300    2    0.6   0.6       0.6       5.4      4.2      
S-2l0j-SF-loose  153  133   22        22        61       48       
S-2l0j-SF-tight  9    9.8   2.9       2.9       8.4      9.0      
S-2lj-SR2-int    2    4.1   2.6       1.8       4.5      5.5      
S-2lj-SR2-high   0    1.6   1.6       1.1       2.9      3.6      
S-2lj-SR2-low    11   4.2   3.4       1.6       14.8     11.0     
S-3l-WZ-0Ja      21   21.7  2.9       2.9       11.2     11.5     
S-3l-WZ-0Jb      1    2.7   0.5       0.5       3.5      4.9      
S-3l-WZ-OJc      2    1.6   0.3       0.3       4.5      3.8      
S-3l-WZ-1Ja      1    2.2   0.5       0.5       3.5      4.5      
S-3l-WZ-1Jb      3    1.8   0.3       0.3       5.4      4.1      
S-3l-WZ-1Jc      4    1.3   0.3       0.3       7.2      3.8      
S-3l-slep-a      4    2.2   0.8       0.8       6.8      5.1      
S-3l-slep-b      3    2.8   0.4       0.4       5.1      5.0      
S-3l-slep-c      9    5.4   0.9       0.9       10.1     6.5      
S-3l-slep-d      0    1.4   0.4       0.4       3.0      4.2      
S-3l-slep-e      0    1.1   0.2       0.2       3.1      3.8      
