SR           obs     bkg     bkg_err  S95_obs  S95_exp  
2j     327865  328000  43000    72539    72381    
3j     280822  281000  37000    62140    64035    
4j     137725  138000  18000    30681    30391    
5j     48041   48000   6300     10743    10662    
6j     13915   13500   1800     3440     3140     
7j     3245    3245    430      739      739      
8j     669     669     110      197      197      
9j     142     142     24       48       48       
10j    32      33      4.4      14       15       
11j    3       7.7     6.2      5.2      6.7      
12j    1       0.3     3.5      4.5      4.4      
13j    0       0.4     0.9      3.0      3.1      
14j    0       0.3     0.6      3.0      2.8      
1b1j   36353   35000   6000     10791    10243    
1b2j   51112   51100   6700     11371    11446    
1b3j   34169   34169   4500     7616     7616     
1b4j   15271   15750   2000     3045     3292     
1b5j   5327    5327    890      1460     1460     
1b6j   1450    1500    250      382      405      
1b7j   349     338     95       155      150      
1b8j   81      81      20       37       37       
1b9j   17      16.8    5.4      13.1     13.1     
1b10j  2       3       2.6      5        5        
1b11j  0       0.1     2        3.0      3.0      
2b     1281    1281    125      237      237      
2b1j   4706    4706    620      1068     1068     
2b2j   5007    5164    680      1054     1124     
2b3j   3146    3146    530      877      877      
2b4j   1363    1363    330      513      513      
2b5j   475     475     134      206      206      
2b6j   134     134     43       68       68       
2b7j   42      42.5    15.4     26.1     26.4     
2b8j   11      10.9    3.5      10.2     9.8      
2b9j   1       0.8     0.8      3.8      3.8      
3b     147     147     26       50       50       
3b1j   349     360     47       81       89       
3b2j   328     328     80       129      129      
3b3j   226     226     64       101      101      
3b4j   101     104     30       47       49       
3b5j   35      35      16       25       25       
3b6j   9       9       4        10       10       
3b7j   3       1.7     0.9      6.0      4.9      
3b8j   0       0.3     0.2      3.0      2.9      
3b9j   0       0.1     0.15     2.9      2.8      
4b     20      19.6    4        12.7     12.6     
4b1j   24      24.3    5.9      14.4     14.8     
4b2j   21      22.2    6.2      13.8     14.5     
4b3j   9       8.7     5        10.2     10.4     
4b4j   3       6       5.5      6        6        
4b5j   2       0.8     0.4      4.8      3.6      
4b6j   0       0.22    0.3      3.05     2.94     
5b     3       8.7     20       20.8     20.6     
5b1j   1       8       15       16       15       
5b2j   0       1.6     3.1      2.9      3.2      
5b3j   0       0.7     7        3.0      7.2      
5b4j   0       0.3     0.5      3.0      3.0      
6b     0       0.4     0.8      3.0      3.1      
6b1j   0       1       3        3        3        
6b2j   1       0.1     0.1      4.0      3.0      
6b3j   0       0.1     0.2      3.0      2.9      
7b     0       0.1     0.6      3.1      3.0      
8b1j   1       0.1     1        4.5      4.6      
1g1j    106003  106000  28000    41917    42323    
1g2j    45523   47000   14000    19362    19817    
1g3j    13384   13384   5000     6872     6872     
1g4j    3027    3110    1200     1555     1589     
1g5j    646     646     250      344      344      
1g6j    130     134     56       76       77       
1g7j    19      19      10       17       17       
1g8j    7       7       3        8        8        
1g9j    0       0.9     0.8      3.0      3.3      
1g10j   2       0.1     1        6.4      6.1      
1g1b    5583    5750    1700     2357     2399     
1g1b1j  5266    5266    2000     2732     2732     
1g1b2j  2468    2468    930      1279     1279     
1g1b3j  792     815     310      408      420      
1g1b4j  195     196     82       113      114      
1g1b5j  54      54      25       37       37       
1g1b6j  9       9.2     3.8      9.2      9.3      
1g1b7j  3       1.6     0.9      6.2      4.8      
1g1b8j  0       0.3     0.2      3.0      2.9      
1g2b    330     340     130      173      178      
1g2b1j  286     294     110      150      151      
1g2b2j  155     160     60       83       84       
1g2b3j  50      51      15       27       27       
1g2b4j  14      14.2    4.8      11.5     11.8     
1g2b5j  3       3.3     1.3      5.3      5.5      
1g2b6j  0       0.8     0.5      2.9      3.0      
1g2b7j  0       0.15    0.15     2.97     2.84     
1g3b    12      12      5.5      12       12       
1g3b1j  12      12      4.5      11       11       
1g3b2j  4       4.2     1.4      5.8      6.0      
1g3b3j  3       1.6     0.7      5.9      4.7      
1g3b4j  0       0.65    0.3      2.91     2.96     
1g4b    1       0.35    0.22     3.64     3.02     
