SR               obs  bkg   bkg_err  S95_obs  S95_exp  
E-inc-01         0    1     1        3        3        
E-inc-02         46   44    6.8      21       19       
E-inc-03         90   77    12       39       30       
E-inc-05         151  138   18       51       42       
E-inc-10         244  200   19       83       49       
E-inc-20         383  301   23       130      63       
E-inc-30         453  366   27       142      70       
E-inc-40         492  420   30       131      74       
E-inc-60         583  520   35       130      83       
VBF-inc-02       0    2.8   1.6      3.0      4.5      
VBF-inc-03       1    3.1   1.7      3.4      4.8      
VBF-inc-05       2    3.3   1.7      4.5      5.4      
VBF-inc-10       9    8.4   2.7      9.2      8.5      
VBF-inc-20       36   32    5        19       16       
VBF-inc-30       58   52    7        25       20       
VBF-inc-40       82   74    10       33       26       
VBF-high-inc-02  0    2.4   1.1      3.0      4.2      
VBF-high-inc-03  1    3     1.4      3        5        
VBF-high-inc-05  2    3     1.4      4        5        
VBF-high-inc-10  3    3.8   1.7      5.2      5.7      
VBF-high-inc-20  9    11.7  2.8      7.3      8.9      
VBF-high-inc-30  17   20    5        11       12       
VBF-high-inc-40  26   28    6        14       16       
S-inc-00         24   27    4.8      12       14       
S-inc-01         41   46    6.5      15       18       
S-inc-02         91   82    10       34       28       
S-inc-05         158  158   17       41       41       
S-inc-10         243  242   21       51       51       
S-inc-20         328  312   24       69       59       
S-inc-30         419  388   28       91       69       
S-inc-40         472  443   31       96       73       
E-high-ee-05     1    0.7   0.4      3.8      3.3      
E-high-ee-10     16   10.3  2.5      14.8     9.9      
E-high-ee-20     13   12.1  2.2      9.9      9.3      
E-high-ee-30     8    10.1  1.7      6.7      8.1      
E-high-ee-40     8    10.4  1.7      6.3      8.1      
E-high-ee-60     18   19.3  2.5      10.0     11.2     
E-high-mm-02     5    3.4   1.2      7.3      6.0      
E-high-mm-03     5    3.5   1.3      7.4      6.1      
E-high-mm-05     0    3.9   1.3      2.9      5.1      
E-high-mm-10     9    11    2        7        8        
E-high-mm-20     23   17.8  2.7      15.7     11.2     
E-high-mm-30     3    8.3   1.4      4.1      6.9      
E-high-mm-40     5    10.1  1.5      4.6      7.9      
E-high-mm-60     20   19.6  2.3      11.3     11.2     
E-med-ee-05      0    0.11  0.08     2.94     2.89     
E-med-ee-10      4    5.1   1.6      5.5      6.3      
E-med-ee-20      11   7.3   1.9      11.4     8.3      
E-med-ee-30      4    2.2   0.9      6.9      5.2      
E-med-mm-02      16   14.6  2.9      11.6     10.3     
E-med-mm-03      8    6.9   2.1      8.6      7.9      
E-med-mm-05      6    6.2   1.9      6.9      7.2      
E-med-mm-10      41   34    4        21       15       
E-med-mm-20      59   52    6        25       20       
