SR     obs  bkg   bkg_err  S95_obs  S95_exp  
Cat1   258  246   7        44       35       
Cat2   85   93    4        16       21       
Cat3   26   24.1  2.       13.5     11.8     
Cat4   17   12.8  1.4      13.1     9.0      
Cat5   54   60    4        14       18       
Cat6   11   16.1  1.8      6.5      9.4      
Cat7   8    6.3   1.1      8.2      6.8      
Cat8   4    5.2   1.       5.2      6.3      
Cat9   71   69    4        21       19       
Cat10  29   26.3  2.2      14.7     12.4     
Cat11  6    8.6   1.2      5.6      7.4      
Cat12  22   16.6  1.7      15.2     9.9      
