SR      obs  bkg   bkg_err  S95_obs  S95_exp  
SRA-TT  4    3.2   0.5      5.9      5.3      
SRA-TW  8    5.6   0.7      8.5      6.7      
SRA-T0  11   17.3  1.7      6.0      9.6      
SRB-TT  67   46    7        39       22       
SRB-TW  84   81    7        25       23       
SRB-T0  292  276   24       66       57       
SRC1    53   46    12       31       27       
SRC2    57   52    9        26       23       
SRC3    38   32    7        23       19       
SRC4    9    11.8  3.1      7.2      9.1      
SRC5    4    2.5   0.7      6.5      5.3      
SRD0    5    6.9   1.3      5.6      6.8      
SRD1    4    3.1   1.0      6.4      5.7      
SRD2    10   12.2  1.5      7.1      8.6      
