SR                 obs  bkg    bkg_err  S95_obs  S95_exp  
SR-Z1A            3    5.7    1.0      4.3      6.5      
SR-Z1B            14   12.1   2.0      10.9     9.0      
SR-Z2A            3    5.6    1.6      4.6      6.1      
SR-Z2B            6    5.5    0.9      7.1      6.6      
SR-h1A            11   17     3        7        10       
SR-h1B            24   19     5        18       14       
SR-Z-1A-MB200      3    4.52   0.86     4.61     5.84     
SR-Z-1A-MB250      2    2.39   0.60     4.47     4.8      
SR-Z-1A-MB300      1    1.32   0.3      3.55     3.93     
SR-Z-1A-MB350      0    2.09   0.6      2.86     4.28     
SR-Z-1B-MB150      8    6.28   2.35     9.31     8.14     
SR-Z-1B-MB300      4    3.50   1.50     6.42     5.78     
SR-Z-1B-MB450      2    1.40   0.34     4.6      3.75     
SR-Z-1B-MB600      0    1.02   0.26     3.04     3.53     
SR-Z-2A-MB         3    5.60   1.62     4.66     6.31     
SR-Z-2B-MB300_50   7    3.71   0.68     9.07     5.93     
SR-Z-2B-MB350_50   4    4.31   0.77     5.34     5.83     
SR-Z-2B-MB300_150  5    4.57   0.81     6.5      5.99     
SR-Z-2B-MB350_150  6    5.51   0.90     6.64     6.3      
SR-h-1A-MB1-10     2    7.25   1.8      3.54     6.65     
SR-h-1A-MB2-10     5    4.32   1.8      7.02     6.63     
SR-h-1A-MB1-12     3    2.75   0.56     5.14     5.08     
SR-h-1A-MB2-12     2    2.3    1.35     4.7      4.9      
SR-h-1B-MB_5_1     19   19.38  5.73     13.69    13.79    
SR-h-1B-MB_5_2     9    9.6    2.73     8.3      8.8      
SR-h-1B-MB_6_1     14   11.18  4.2      12.94    11.5     
SR-h-1B-MB_6_2     9    6.69   2.01     9.69     7.7      
SR-h-1AB-MB        3    7.48   1.22     3.99     6.88     
