SR   obs  bkg  bkg_err  S95_obs  S95_exp  
MB-SSd-2-1000-10  6986  6890  300      652      581      
MB-SSd-2-1000-16  2537  2589  100      186      213      
MB-SSd-2-1000-22  1289  1290  50       116      119      
MB-SSd-2-1600-10  926   870   50       156      113      
MB-SSd-2-1600-16  526   528   27       66       69       
MB-SSd-2-1600-22  638   608   30       99       76       
MB-SSd-2-2200-16  55    65    4        13       19       
MB-SSd-2-2200-22  146   142   8        32       30       
MB-SSd-2-2800-16  17    14    1.5      12       9        
MB-SSd-2-2800-22  29    34.3  2.8      10.3     13.5     
MB-SSd-2-3400-22  3     3.5   0.6      4.8      5.4      
MB-SSd-2-3400-28  6     11.4  1.6      4.8      8.1      
MB-SSd-2-4000-22  1     0.9   0.5      3.7      3.4      
MB-SSd-2-4000-28  5     4     0.8      7        6        
MB-SSd-4-1000-10  7769  7570  260      689      520      
MB-SSd-4-1000-16  4286  4010  140      521      302      
MB-SSd-4-1000-22  858   820   40       127      100      
MB-SSd-4-1600-10  819   860   40       70       93       
MB-SSd-4-1600-16  461   494   23       42       60       
MB-SSd-4-1600-22  485   450   22       89       59       
MB-SSd-4-2200-16  71    68    4        21       19       
MB-SSd-4-2200-22  113   120   7        23       27       
MB-SSd-4-2800-16  17    13.6  1.2      11.9     9.1      
MB-SSd-4-2800-22  25    27.9  2.1      10.2     12.5     
MB-GGd-4-1000-10  1281  1250  50       141      120      
MB-GGd-4-1000-16  240   256   14       32       41       
MB-GGd-4-1000-22  35    28    5        21       15       
MB-GGd-4-1600-10  228   234   13       35       38       
MB-GGd-4-1600-16  95    102   6        19       24       
MB-GGd-4-1600-22  44    43    4        17       16       
MB-GGd-4-2200-10  23    21.3  1.6      12.2     11.0     
MB-GGd-4-2200-16  23    21.3  1.6      12.0     11.0     
MB-GGd-4-2200-22  15    16.2  1.6      9.3      10.0     
MB-GGd-4-2800-10  5     4.3   0.8      6.3      6.0      
MB-GGd-4-2800-16  5     4.3   0.8      6.3      6.0      
MB-GGd-4-2800-22  8     4.3   0.5      9.8      5.8      
MB-GGd-4-3400-10  1     0.7   0.4      3.7      3.3      
MB-GGd-4-3400-16  1     0.7   0.4      3.7      3.3      
MB-GGd-4-3400-22  0     1.4   0.4      2.9      4.0      
MB-GGd-4-4000-10  0     0.15  0.06     2.94     2.9      
MB-GGd-4-4000-16  0     0.15  0.06     2.94     2.94     
MB-GGd-4-4000-22  1     0.34  0.09     3.6      3.03     
MB-C-2-1600-16    908   890   50       123      113      
MB-C-2-1600-22    2108  1969  100      317      216      
MB-C-2-2200-16    107   113   7        22       25       
MB-C-2-2200-22    406   373   22       85       58       
MB-C-2-2800-16    37    24.2  2.3      24.1     12.2     
MB-C-2-2800-22    85    89    8        21       24       
MB-C-4-1600-16    274   273   17       47       47       
MB-C-4-1600-22    213   204   15       47       41       
MB-C-4-2200-16    54    54    4        17       17       
MB-C-4-2200-22    98    91    7        30       24       
MB-C-4-2800-16    16    12    1.2      12       9        
MB-C-4-2800-22    25    30.8  2.7      9.1      12.7     
MB-C-5-1600-16    126   129   8        26       28       
MB-C-5-1600-22    51    48    4        19       17       
MB-C-5-2200-16    57    55    4        19       18       
MB-C-5-2200-22    47    41.3  3.4      19.9     15.5     
MB-C-5-2800-16    15    15    1.4      10       10       
MB-C-5-2800-22    24    20.8  1.9      13.8     11.2     
SR-2j-1600        2111  2190  130      203      248      
SR-2j-2200        971   980   50       108      115      
SR-2j-2800        78    87    8        18       24       
SR-4j-1000        535   536   31       75       75       
SR-4j-2200        60    60    5        20       20       
SR-4j-3400        4     5.7   1.0      5.1      6.4      
SR-5j-1600        320   319   19       52       51       
SR-6j-1000        25    21    2.9      15       12       
SR-6j-2200        5     4.6   1.0      6.6      5.9      
SR-6j-3400        0     0.8   0.4      3.1      3.0      
BDT-GGd1          34    30    5        19       15       
BDT-GGd2          68    52    6        34       21       
BDT-GGd3          227   223   17       47       44       
BDT-GGd4          291   298   23       49       55       
BDT-GGo1          6     5.5   1.5      7.1      6.7      
BDT-GGo2          25    18    2.4      18       11       
BDT-GGo3          80    85    9        22       25       
BDT-GGo4          135   159   16       24       37       
