SR                obs  bkg   bkg_err  S95_obs  S95_exp  
2J_bveto_700      280  261   22       68       54       
2J_bveto_1300     84   73    12       38       29       
2J_bveto_1900     22   12.8  2.2      19.2     10.3     
2J_btag_700       154  134   36       77       68       
2J_btag_1300      106  123   33       43       49       
2J_btag_1900      21   16    6        18       15       
4J_lx_bveto_1000  393  383   27       71       65       
4J_lx_bveto_1600  57   56    6        20       19       
4J_lx_bveto_2200  10   9.5   1.7      8.5      8.0      
4J_lx_btag_1000   695  701   90       158      160      
4J_lx_btag_1600   79   94    19       26       33       
4J_lx_btag_2200   11   15    4        8        10       
4J_hx_bveto_1000  104  92    32       61       56       
4J_hx_bveto_1600  32   18    4        26       14       
4J_hx_bveto_2200  11   7.1   2.3      11.9     8.9      
4J_hx_btag_1000   121  127   27       44       47       
4J_hx_btag_1600   26   25    5        15       14       
4J_hx_btag_2200   8    7.7   2.1      8.1      7.9      
6J_bveto_700      19   25    8        12       15       
6J_bveto_1400     16   15.9  2.5      10.6     10.2     
6J_bveto_2100     3    3.5   0.5      5.0      5.3      
6J_bveto_2800     2    1.8   0.6      4.4      4.3      
6J_btag_700       117  110   17       42       38       
6J_btag_1400      68   70    11       24       26       
6J_btag_2100      7    13.6  3.1      5.4      9.1      
6J_btag_2800      2    2.4   1.0      4.4      5.0      
2J_disc_gluino    22   12.8  2.2      18.8     10.1     
2J_disc_squark    106  86    12       46       31       
4J_disc_hx        11   7.1   2.3      11.8     8.6      
4J_disc_lx        10   9.5   1.7      8.6      8.3      
6J_disc_gluino    2    1.8   0.6      4.4      4.4      
6J_disc_squark    5    5.3   0.8      6.0      6.0      
