SR    obs      bkg      bkg_err  S95_obs  S95_exp  
EM00  1791624  1783000  26000    57820    52296    
EM01  752328   753000   9000     16946    17450    
EM02  313912   314000   3500     6776     7100     
EM03  141036   140100   1600     3827     3128     
EM04  102888   101600   1200     3428     2384     
EM05  29458    29200    400      1031     862      
EM06  10203    10000    180      555      404      
EM07  3986     3870     80       290      197      
EM08  1663     1640     40       127      111      
EM09  738      754      20       58       66       
EM10  413      359      10       92       44       
EM11  187      182      6        34       31       
EM12  207      218      9        28       35       
IM00  3148643  3120000  40000    100380   75549    
IM01  1357019  1346000  16000    39651    32155    
IM02  604691   597000   8000     21233    15369    
IM03  290779   286000   4000     11760    7787     
IM04  149743   146400   2300     7072     4443     
IM05  46855    45550    1000     3045     1965     
IM06  17397    16800    500      1479     1000     
IM07  7194     7070     240      577      493      
IM08  3208     3180     130      289      264      
IM09  1545     1560     80       159      173      
IM10  807      720      60       191      131      
IM11  394      407      34       64       74       
IM12  207      223      19       35       46       
