SR                  obs  bkg   bkg_err  S95_obs  S95_exp  
SR-WZ-01            331  314   33       83       73       
SR-WZ-02            31   35    6        14       16       
SR-WZ-03            3    4.1   1        4.8      5.9      
SR-WZ-04            2    1.2   0.5      4.7      4.0      
SR-WZ-05            42   58    5        10       18       
SR-WZ-06            7    8     0.9      6        7        
SR-WZ-07            3    5.8   1        4.2      6.5      
SR-WZ-08            1    0.8   0.4      3.7      3.3      
SR-WZ-09            77   90    20       28       34       
SR-WZ-10            11   13.4  2.4      7.9      9.2      
SR-WZ-11            0    0.5   0.4      3.1      2.9      
SR-WZ-12            0    0.49  0.24     3.0      2.92     
SR-WZ-13            111  89    11       47       30       
SR-WZ-14            19   16    1.4      12       10       
SR-WZ-15            5    2.8   0.6      7.4      5.2      
SR-WZ-16            1    1.3   0.27     3.5      4.0      
SR-WZ-17            13   13.7  2.6      9.4      9.5      
SR-WZ-18            9    9.2   1.3      7.8      7.9      
SR-WZ-19            3    2.3   0.4      5.1      4.7      
SR-WZ-20            1    1.09  0.13     3.62     3.98     
SR-Wh-SF-01         152  136   13       48       35       
SR-Wh-SF-02         14   13.5  1.7      9.4      9.4      
SR-Wh-SF-03         8    4.3   0.9      9.9      6.0      
SR-Wh-SF-04         47   50    5        16       17       
SR-Wh-SF-05         6    4.3   0.7      7.6      6.1      
SR-Wh-SF-06         15   20.2  2.1      7.2      10.8     
SR-Wh-SF-07         19   16    2.1      13       10       
SR-Wh-SF-08         113  108   13       36       32       
SR-Wh-SF-09         184  180   17       44       42       
SR-Wh-SF-10         28   31    4        12       14       
SR-Wh-SF-11         5    6.6   0.9      5.6      6.5      
SR-Wh-SF-12         82   90    11       22       27       
SR-Wh-SF-13         16   18.7  2.6      9.2      10.5     
SR-Wh-SF-14         4    2.5   0.7      6.5      5.1      
SR-Wh-SF-15         51   46    7        24       20       
SR-Wh-SF-16         5    9.8   1.6      4.8      7.6      
SR-Wh-SF-17         37   43    7        15       18       
SR-Wh-SF-18         7    12.6  1.7      5.1      8.5      
SR-Wh-SF-19         4    1.8   0.4      7.1      4.3      
SR-Wh-DF-1          10   4.5   0.8      12.2     6.5      
SR-Wh-DF-2          10   7     2.3      11       8        
SR-offWZ-low-0jb    25   32    4        10       14       
SR-offWZ-low-0jc    42   44    4        15       16       
SR-offWZ-low-0jd    77   54    4        39       19       
SR-offWZ-low-0je    101  91    6        31       23       
SR-offWZ-low-0jf1   33   32.3  2.5      13.8     13.4     
SR-offWZ-low-0jf2   7    5.9   1.1      7.8      6.6      
SR-offWZ-low-0jg1   34   34.7  2.8      13.5     14.1     
SR-offWZ-low-0jg2   9    6.3   1.1      9.3      6.9      
SR-offWZ-low-njb    6    3.5   0.6      7.8      5.6      
SR-offWZ-low-njc    13   8     1.2      13       8        
SR-offWZ-low-njd    17   13.5  1.5      12.5     9.3      
SR-offWZ-low-nje    14   18.2  3.4      8.3      10.8     
SR-offWZ-low-njf1   25   23.4  2.5      12.9     11.8     
SR-offWZ-low-njf2   20   17.9  1.9      12.0     10.2     
SR-offWZ-low-njg1   22   17    3.5      16       12       
SR-offWZ-low-njg2   12   12.4  1.9      8.8      9.1      
SR-offWZ-high-0jb   1    1.5   0.7      3.5      4.1      
SR-offWZ-high-0jc   4    4.3   0.8      5.7      5.9      
SR-offWZ-high-0jd   11   14    1.6      7        9        
SR-offWZ-high-0je   13   11.5  1.6      9.9      8.8      
SR-offWZ-high-0jf1  37   35.7  3.2      15.7     14.4     
SR-offWZ-high-0jf2  14   25.5  2.4      5.9      11.7     
SR-offWZ-high-0jg1  43   39.5  3        18.0     14.7     
SR-offWZ-high-0jg2  17   21    7        11       14       
SR-offWZ-high-nja   3    6     1.6      4        6        
SR-offWZ-high-njb   2    1.4   0.6      4.6      4.1      
SR-offWZ-high-njc   2    2.1   0.8      4.4      4.8      
SR-offWZ-high-njd   2    5.4   1.4      3.8      6.0      
SR-offWZ-high-nje   2    3     1.1      4        5        
SR-offWZ-high-njf   11   9.9   2.5      9.9      8.8      
SR-offWZ-high-njg   4    6.8   1.8      4.8      6.6      
