SR    bkg   bkg_err  obs  S95_obs  S95_exp  
SR0   145   6.       126  16.7     27.2
SR1   16.3  5.2      16   12.2     12.3     
SR2   17.   1.9      20.  13.0     10.0     
SR3   7.8   1.5      8    7.7      7.5      
SR4   8.6   1.1      12   10.8     7.5      
SR5   2.7   0.8      3    5.3      5.1      
SR6   2.3   0.6      5    7.8      4.9      
SR7   2.1   1.1      3    5.9      5.1      
SR8   1.7   1.5      2    5.0      4.9      
SR9   22.7  1.9      25   13.0     11.5     
SR10  7.5   1.       8    7.4      7.0      
SR11  16.1  1.2      20   12.9     9.7      
SR12  5.8   0.8      6    6.8      6.6      
SR13  8.2   1.5      6    6.0      7.3      
SR14  2.8   0.7      2    4.3      5.1      
SR15  3.6   1.2      7    9.5      6.4      
SR16  1.71  0.35     3    5.56     4.07     
SR17  2.    0.7      5    8.0      5.0      
SR18  0.34  0.13     0    2.95     2.93     
SR19  0.54  0.2      1    3.76     3.05     
SR20  0.5   0.4      0    3.0      2.9      
SR21  0.52  0.22     1    3.73     3.09     
