SR       obs   bkg   bkg_err  S95_obs  S95_exp  
SR1      6382  6385  81       219      224      
mT_0200  230   230   12       38       38       
mT_0250  2623  2623  90       202      202      
mT_0300  1497  1543  29       69       96       
mT_0350  748   763   14       62       52       
mT_0400  465   451   12       59       48       
mT_0450  264   255   7        43       35       
mT_0500  166   161   6        32       29       
mT_0550  110   110   4.5      24       24       
mT_0600  71    72    3.5      18.9     18.8     
mT_0650  48    46    3        17.2     16       
mT_0700  31    32.4  2        11.8     12.9     
mT_0750  17    20    1.2      8.5      10.6      
mT_0800  19    17.8  1.4      11.0     10.2     
mT_0850  12    12.1  1.1      8.5      8.5      
mT_0900  9     8.5   1.1      7.9      7.5      
mT_0950  7     6.7   0.8      7.2      6.7      
mT_1000  8     8.6   1.2      7.0      7.6      
mT_1100  6     5     0.8      7        6        
mT_1200  4     2.8   0.6      6.3      5.1      
mT_1300  1     2.1   0.4      3.6      4.4      
mT_1400  3     2.1   0.5      5.3      4.6      
mT_1600  0     0.3   0.2      3.0      2.9      
