SR     obs    bkg    bkg_err  S95_obs  S95_exp  
SR00   16490  14990  2990     5992     5249     
Bin01  2059   2044   43       132      123      
Bin02  2640   2646   48       132      137      
Bin03  905    915    28       75       80       
Bin04  647    650    23       64       67       
Bin05  77     79.8   7.1      20.5     22.6     
Bin06  1354   1348   35       106      98       
Bin07  2745   2745   49       142      142      
Bin08  1131   1115   29       97       89       
Bin09  841    838    26       77       76       
Bin10  134    120.3  8.4      40.2     28.6     
Bin11  688    694    25       66       70       
Bin12  681    671    23       75       68       
Bin13  90     93.6   8.2      22.8     24.6     
Bin14  1561   1568   38       106      110      
Bin15  861    848    27       87       77       
Bin16  76     71     7.3      27       23       
