SR                  obs  bkg    bkg_err  S95_obs  S95_exp  
SR-0J-inc-100       58   76     13       17       26       
SR-0J-inc-110       39   58     11       14       21       
SR-0J-inc-120       30   40     8        12       17       
SR-0J-inc-130       23   24     6        14       15       
SR-0J-inc-140       7    9.2    3.4      7.4      8.3      
SR-0J-bin-100       13   16.33  5.29     9.76     11.75    
SR-0J-bin-105       6    3.57   2.8      9.51     8.24     
SR-0J-bin-110       6    9.46   3.56     6.3      8.3      
SR-0J-bin-115       3    11.6   3.07     4.8      8.0      
SR-0J-bin-120       6    8.53   4.85     7.25     8.44     
SR-0J-bin-125       1    8.57   3.08     4.25     6.85     
SR-0J-bin-130       16   15.88  4.74     12.47    12.31    
SR-0J-bin-140       7    9.19   2.66     6.9      8.28     
SR-1J-inc-100       82   78     13       32       31       
SR-1J-inc-110       39   50     17       20       25       
SR-1J-inc-120       12   16     5        9        11       
SR-1J-inc-130       2    6.9    2.8      4.0      6.4      
SR-1J-inc-140       0    2.4    1.6      2.9      4.3      
SR-1J-bin-100       27   12.29  4.35     26.3     15.85    
SR-1J-bin-105       16   17.51  5.19     11.6     12.2     
SR-1J-bin-110       24   14.54  7.79     23.95    19.06    
SR-1J-bin-115       3    20.64  4.52     14.37    9.56     
SR-1J-bin-120       5    4.65   1.84     6.74     6.54     
SR-1J-bin-125       5    6.85   3.42     6.32     7.36     
SR-1J-bin-130       2    4.51   1.96     4.04     5.83     
SR-1J-bin-140       0    2.36   1.46     2.96     4.26     
SR-BDT-DF-inc-81    477  470    50       104      101      
SR-BDT-DF-inc-82    340  350    40       72       78       
SR-BDT-DF-inc-83    222  231    26       48       55       
SR-BDT-DF-inc-84    130  126    15       39       37       
SR-BDT-DF-inc-85    69   65     10       27       24       
SR-BDT-SF-inc-77    143  167    32       42       52       
SR-BDT-SF-inc-78    86   108    23       27       37       
SR-BDT-SF-inc-79    47   58     15       20       25       
SR-BDT-SF-inc-80    22   28     8        12       16       
SR-BDT-DF-bin-8100  29   31.9   5.22     13.0     15.4     
SR-BDT-DF-bin-8125  41   38.7   12.69    25.7     24.3     
SR-BDT-DF-bin-8150  32   27.57  9.01     22.29    20.39    
SR-BDT-DF-bin-8175  35   28.65  7.99     23.64    19.44    
SR-BDT-DF-bin-8200  27   36.58  7.31     11.19    16.36    
SR-BDT-DF-bin-8225  31   24.52  5.16     20.33    15.32    
SR-BDT-DF-bin-8250  30   29.41  5.55     16.19    15.35    
SR-BDT-DF-bin-8275  30   28.23  5.29     16.03    14.95    
SR-BDT-DF-bin-8300  24   29.78  11.44    15.57    18.05    
SR-BDT-DF-bin-8325  29   23.2   8.69     23.1     19.5     
SR-BDT-DF-bin-8350  19   26.13  7.8      11.12    14.68    
SR-BDT-DF-bin-8375  20   26.33  5.95     10.58    13.75    
SR-BDT-DF-bin-8400  34   30.55  8.15     21.28    19.31    
SR-BDT-DF-bin-8450  27   30.4   8.7      15.2     17.8     
SR-BDT-DF-bin-8500  34   37.23  7.65     15.74    17.88    
SR-BDT-DF-bin-8600  35   27.57  7.19     24.01    18.38    
SR-BDT-SF-bin-7700  34   32.34  9.3      21.05    20.27    
SR-BDT-SF-bin-7750  23   28.75  5.63     10.89    14.05    
SR-BDT-SF-bin-7800  20   29.24  7.85     10.42    15.03    
SR-BDT-SF-bin-7850  19   20.58  6.13     12.95    14.32    
SR-BDT-SF-bin-7900  15   16.41  7.36     12.95    13.51    
SR-BDT-SF-bin-7950  10   15.13  3.25     6.74     9.97     
SR-BDT-SF-bin-8000  15   15.53  5.61     12.23    12.81    
SR-BDT-SF-bin-8100  7    10.98  3.93     6.65     8.99     
