SR                    obs   bkg    bkg_err  S95_obs  S95_exp  
nonresDNN-SR-bin00    715   666    16       100      60       
nonresDNN-SR-bin01    542   563    12.5     41       53       
nonresDNN-SR-bin02    451   468    9.3      38       48       
nonresDNN-SR-bin03    411   432.7  8.1      31.8     44.4     
nonresDNN-SR-bin04    368   380    6.9      34       42       
nonresDNN-SR-bin05    351   356.6  6.4      35.6     40.4     
nonresDNN-SR-bin06    351   331.5  6        54.4     39.2     
nonresDNN-SR-bin07    315   333.8  6.1      27.1     38.1     
nonresDNN-SR-bin08    309   333.9  6.4      25.1     39.0     
nonresDNN-SR-bin09    321   295.6  6        57.7     36.1     
nonresDNN-SR-bin10    319   303.5  6.3      50.2     36.9     
nonresDNN-SR-bin11    324   290.7  6.5      65.4     37.9     
nonresDNN-SR-bin12    289   289.5  6.8      36.1     37.0     
nonresDNN-SR-bin13    316   283.5  6.9      64.9     37.4     
nonresDNN-SR-bin14    257   273    6.9      26       36       
nonresDNN-SR-bin15    225   238.4  6.3      25.1     33.7     
nonresDNN-SR-bin16    170   200.8  6.2      16.7     30.2     
nonresDNN-SR-bin17    85    81.5   3.5      22.4     20.1     
nonresDNN-SR-bin18    44    40.6   2.9      17.9     15.4     
resDNN-SR-bin00       1643  1629   35       117      103      
resDNN-SR-bin01       863   878    15       56       66       
resDNN-SR-bin02       571   588    11       42       53       
resDNN-SR-bin03       434   419    8.8      57       44       
resDNN-SR-bin04       341   347.9  7.6      36.2     41.3     
resDNN-SR-bin05       292   308.6  6.6      29.1     36.6     
resDNN-SR-bin06       263   263.3  5.8      34.1     35.9     
resDNN-SR-bin07       237   243.3  5.2      28.9     34.2     
resDNN-SR-bin08       231   211.3  4.8      47.8     30.8     
resDNN-SR-bin09       204   206.7  4.7      29.1     30.2     
resDNN-SR-bin10       202   200.6  4.8      32.5     30.3     
resDNN-SR-bin11       195   185.5  4.8      37.7     30.6     
resDNN-SR-bin12       203   196.5  5.5      34.8     31.2     
resDNN-SR-bin13       195   199.9  6.1      27.7     31.8     
resDNN-SR-bin14       221   214    6.5      38       32       
resDNN-SR-bin15       233   214    6        48       32       
resDNN-SR-bin16       192   213    5.9      20       31       
resDNN-SR-bin17       141   141.4  5.7      26.5     27.6     
resDNN-SR-bin18       8     8.55   0.9      7.15     7.32     
heavyresDNN-SR-bin00  770   733    15       92       61       
heavyresDNN-SR-bin01  647   612.4  11.6     81.5     55.7     
heavyresDNN-SR-bin02  484   502.8  9        36.4     50.2     
heavyresDNN-SR-bin03  430   441.6  7.8      37.6     44.6     
heavyresDNN-SR-bin04  423   410    7.4      53       43       
heavyresDNN-SR-bin05  332   355.8  6.6      26.5     39.3     
heavyresDNN-SR-bin06  313   323.8  6.4      31.3     39.5     
heavyresDNN-SR-bin07  356   341.9  6.6      50.2     40.1     
heavyresDNN-SR-bin08  321   333.3  6.8      31.9     40.0     
heavyresDNN-SR-bin09  330   323.4  6        43.2     39.4     
heavyresDNN-SR-bin10  328   319.8  6        43.8     37.9     
heavyresDNN-SR-bin11  286   305.6  6.2      25.6     38.1     
heavyresDNN-SR-bin12  285   268.5  5.6      48.4     34.9     
heavyresDNN-SR-bin13  283   278.8  5.8      39.4     36.6     
heavyresDNN-SR-bin14  292   294.7  6.5      36.0     36.3     
heavyresDNN-SR-bin15  252   279    6.4      22       36       
heavyresDNN-SR-bin16  299   315.9  8.5      29.1     38.4     
heavyresDNN-SR-bin17  291   281.7  11.2     48.5     40.0     

