SR            obs   bkg   bkg_err  S95_obs  S95_exp  
0J_6j_2b      9466  9000  2200     3717     3549     
0J_6j_3b      2279  1850  530      1155     965      
0J_6j_m4b     345   233   97       238      194      
1J_6j_3b_LM   123   114   33       65       58       
1J_6j_3b-HM   215   184   56       115      101      
1J_6j_m4b_LM  50    40.3  3.4      23.8     15.3     
1J_6j_m4b-HM  26    30.9  2.6      9.9      13.2     
m2J_6j_2b     164   189   48       60       70       
m2J_6j_3b     55    49.7  4.2      21.6     17.5     
m2J_6j_m4b    13    11.3  2.5      10.9     9.3      
