SR            bkg   bkg_err  obs  S95_obs  S95_exp  
Meff_2j_800   610   50       650  137      107      
Meff_2j_1200  297   29       270  45       60       
Meff_2j_1600  121   13       96   18       30       
Meff_2j_2000  42    6        29   10       16       
Meff_3j_1200  355   33       363  78       71       
Meff_4j_1000  84    7        97   35       24       
Meff_4j_1400  66    8        71   26       23       
Meff_4j_1800  27    3.2      37   23       13       
Meff_4j_2200  4.8   1.1      10   12.0     6.6      
Meff_4j_2600  2.7   0.6      3    5.2      5.1      
Meff_5j_1400  68    9        64   21       23       
Meff_6j_1800  5.5   1.0      10   11.4     7.0      
Meff_6j_2200  0.82  0.35     1    3.63     3.21     
