SR                obs  bkg    bkg_err  S95_obs  S95_exp  
SR2-SF-a          56   47     12       33       27       
SR2-SF-b          28   25     5        17       15       
SR2-SF-c          19   25     4        9        12       
SR2-SF-d          13   14     7        12       13       
SR2-SF-e          10   5.2    1.4      11.9     7.3      
SR2-SF-f          6    1.9    1.2      10.0     6.8      
SR2-SF-g          6    3.8    1.9      8.8      6.9      
SR2-SF-h          0    3.1    1.0      3.1      5.0      
SR2-SF-i          1    1.9    0.9      3.5      4.4      
SR2-SF-j          3    1.6    0.5      5.7      4.2      
SR2-SF-k          2    1.5    0.6      4.7      4.2      
SR2-SF-l          2    1.8    0.8      4.6      4.5      
SR2-SF-m          7    2.6    0.9      10.2     5.8      
SR2-DF-a          67   57     7        30       22       
SR2-DF-b          5    9.6    1.9      4.9      7.6      
SR2-DF-c          4    1.5    1.7      8.1      6.7      
SR2-DF-d          2    0.6    0.6      5.4      4.2      
SR2-SF-Loose      153  133    22       61       48       
SR2-SF-tight      9    9.8    2.9      8.6      8.8      
SR2-DF-100        78   68     7        31       23       
SR2-DF-150        11   11.5   3.1      9.2      9.5      
SR2-DF-200        6    2.1    1.9      10.5     8.0      
SR2-DF-300        2    0.6    0.6      5.4      4.3      
SR2-int           2    4.1    2.6      4.3      5.5      
SR2-high          0    1.6    1.6      3.0      3.3      
SR2-low-combined  11   4.2    3.8      15.5     12.6     
SR3-WZ-0Ja        21   21.74  2.85     11.35    11.9     
SR3-WZ-0Jb        1    2.68   0.46     3.46     4.83     
SR3-WZ-0Jc        2    1.56   0.33     4.49     3.84     
SR3-WZ-1Ja        1    2.21   0.53     3.54     4.5      
SR3-WZ-1Jb        3    1.82   0.26     5.43     4.06     
SR3-WZ-1Jc        4    1.26   0.34     7.31     3.88     
SR3-slep-a        4    2.23   0.79     6.82     5.31     
SR3-slep-b        3    2.79   0.43     5.09     4.81     
SR3-slep-c        9    5.41   0.93     10.05    6.55     
SR3-slep-d        0    1.42   0.38     3.0      3.91     
SR3-slep-e        0    1.14   0.23     3.05     3.86     
