SR    bkg     bkg_err  obs     S95_obs  S95_exp  
IM1   245900  5800     255486  18674    11426    
IM2   138000  3400     144283  11687    7097     
IM3   73000   1900     76808   6874     3767     
IM4   39900   1000     41523   3268     2001     
IM5   12720   340      13680   1520     722     
IM6   4680    160      5097    692      350      
IM7   2017    90       2122    274      193      
IM8   908     55       980     180      122      
IM9   464     34       468     78       77       
IM10  238     23       245     58       53       
EM1   111100  2300     111203  4464     4471     
EM2   67100   1400     67475   3032     2741     
EM3   33820   940      35285   2984     1854     
EM4   27640   610      27843   1355     1235     
EM5   8360    190      8583    582      410      
EM6   2825    78       2975    302      184      
EM7   1094    33       1142    128      92       
EM8   463     19       512     97       57       
EM9   213     9        223     43       35       
EM10  226     16       245     58       44       
