SR    obs      bkg      bkg_err  S95_obs  S95_exp  
EM00  1791624  1770000  26000    66448    50843    
EM01  752328   747800   10000    22755    19640    
EM02  313912   312000   4000     9027     7666     
EM03  141036   139200   1600     4667     3172     
EM04  102888   100900   1200     3986     2400     
EM05  29458    29000    400      1199     833      
EM06  10203    9930     170      594      381      
EM07  3986     3840     80       310      197      
EM08  1663     1630     40       135      109      
EM09  738      747      19       59       65       
EM10  413      356      10       94       44       
EM11  187      181      6        35       30       
EM12  207      216      9        29       35       
IM00  3148643  3100000  40000    114552   77205    
IM01  1357019  1340000  16000    44539    30878    
IM02  604691   596000   7000     20140    13460    
IM03  290779   285000   4000     12247    7808     
IM04  149743   146100   2400     7557     4673     
IM05  46855    45200    900      3128     1833     
IM06  17397    16600    500      1614     1015     
IM07  7194     6990     230      627      468      
IM08  3208     3140     120      305      256      
IM09  1545     1540     70       157      151      
IM10  807      710      50       188      113      
IM11  394      390      40       84       82       
IM12  207      221      18       35       44       
