SR    obs     bkg     bkg_err  S95_obs  S95_exp  
E040  305000  305000  3500     6927     6927     
E045  192500  192500  2500     4877     4877     
E050  178400  178400  1800     3566     3566     
E060  64500   64500   800      1605     1605     
E070  23600   23600   400      821      821      
E080  9770    9770    180      391      391      
E090  4570    4570    100      236      236      
E100  3450    3450    80       191      191      
E120  861     861     22       72       72       
E140  180     180     6        31       31       
E160  37      37      10       21       21       
I040  783000  783000  12000    23049    23049    
I045  478000  478000  8000     15348    15348    
I050  285400  285400  4000     7725     7725     
I060  107000  107000  2000     3859     3859     
I070  42500   42500   1000     1962     1962     
I080  19000   19000   600      1169     1169     
I090  9100    9100    300      608      608      
I100  4530    4530    180      364      364      
I120  1080    1080    70       144      144      
I140  216     216     19       46       46       
