SR     obs   bkg   bkg_err  S95_obs  S95_exp  
SR2jl  183   183   5        30       30       
SR2jm  23.6  23.6  1.7      11.6     11.6     
SR3j   64.9  64.9  2.9      18.0     18.0     
SR4jl  72.6  72.6  3.1      19.0     19.0     
SR4jm  125   125   4        25       25       
SR4jt  300   300   8        39       39       
SR5j   138   138   5        26       26       
SR6jl  38.3  38.3  2.5      14.3     14.3     
SR6jm  28.1  28.1  2.2      12.4     12.4     
SR6jt  18.8  18.8  1.7      10.4     10.4     
