# This file is not used by CheckMATE 2. To edit values by hand, please refer to the corresponding var.j file!
SR         bkg   bkg_err  obs  S95_obs  S95_exp  
SR0taua01  23    4        36   25       15       
SR0taua02  4.2   1.5      5    6.8      6.6      
SR0taua03  10.6  1.8      9    7.3      8.1      
SR0taua04  8.5   1.7      9    8.3      8.0      
SR0taua05  12.9  2.4      11   8.2      9.1      
SR0taua06  6.6   1.9      13   14.2     8.6      
SR0taua07  14.1  2.2      15   10.6     9.5      
SR0taua08  1.1   0.4      1    3.6      3.8      
SR0taua09  22.4  3.5      28   17.6     13.3     
SR0taua10  16.4  2.8      24   18.0     11.6     
SR0taua11  27    5        29   16       15       
SR0taua12  5.5   1.5      8    9.3      7.1      
SR0taua13  715   70       714  134      137      
SR0taua14  219   33       214  60       63       
SR0taua15  65    13       63   26       28       
SR0taua16  4.6   1.6      3    4.7      6.1      
SR0taua17  69    9        60   18       22       
SR0taua18  3.4   1.4      1    3.3      5.0      
SR0taua19  1.2   0.4      0    2.9      3.7      
SR0taua20  0.29  0.18     0    2.9      2.9      
SR0taub    3.8   1.2      3    5.0      5.5      
SR1tau     10.3  1.2      13   10.7     8.2      
SR2taua    6.9   0.8      6    6.1      6.8      
SR2taub    7.2   0.7      5    5.1      6.9      
