# This file is not used by CheckMATE 2. To edit values by hand, please refer to the corresponding var.j file!
SR          bkg   bkg_err  obs  S95_obs  S95_exp  S95_exp_errp  S95_exp_errm  
mT2_90_SF   38.2  5.1      33      12.789   15.834   6.496         4.669
mT2_90_DF   23.3  3.7      21      11.165   12.586   5.278         3.654
mT2_120_SF  8.9   2.1      5       5.278    7.511    3.451         2.233
mT2_120_DF  3.6   1.2      5      7.308    6.0      2.639         1.827
mT2_150_SF  3.2   0.7      3      4.872    4.872    2.63          1.624
mT2_150_DF  1.0   0.5      2      5.278    3.857    2.03          1.218
WWa_SF      86.5  7.4      73      15.834   22.939   9.338         6.496
WWa_DF      73.6  7.9      70      20.3     22.533   8.932         6.293
WWb_SF      30.2  3.5      26      10.962   13.398   5.68          4.06
WWb_DF      18.1  2.6      17      9.947    10.759   4.669         3.248
WWc_SF      20.3  3.5      10      5.887    10.556   4.669         3.248
WWc_DF      9.0   2.2      11      10.15    8.323    3.857         2.436
Zjets       1.4   0.6      1      3.451    3.857    2.233         1.218
         
