# This file is not used by CheckMATE 2. To edit values by hand, please refer to the corresponding var.j file!
SR           obs  bkg   bkg_err  S95_obs  S95_exp  
tN_med       12   13    2.2      8.5      9.2      
tN_high      5    5     1        6        6        
tN_boost     5    3.3   0.7      7        5.3      
bCa_low      11   6.5   1.4      12.2     7.8      
bCa_med      20   17    4        14.4     12.3     
bCb_med1     41   32    5        23.5     16.0     
bCb_high     7    9.8   1.6      6.5      7.9      
bCc_diag     493  470   50       110.6    95.1     
bCd_high1    16   11.0  1.5      13.2     8.5      
bCd_high2    5    4.4   0.8      6.3      5.7      
tNbC_mix     10   7.2   1        9.7      7.0      
tN_diag_a    117  136   22       42.1     55.7     
tN_diag_b    163  152   20       55.4     47.8     
tN_diag_c    101  98    13       36.1     33.9     
tN_diag_d    217  236   29       58.7     71.4     
bCb_med2_a   10   12.1  2.0      7.3      8.8      
bCb_med2_b   10   7.4   1.4      9.7      7.3      
bCb_med2_c   16   21    4        9.3      12.3     
bCb_med2_d   9    9.1   1.6      7.7      7.8      
bCd_bulk_a   144  133   22       36.1     33.9     
bCd_bulk_b   78   73    8        58.7     71.4     
bCd_bulk_c   61   66    6        17.5     20.9     
bCd_bulk_d   29   26.5  2.6      14.8     12.6     
threeBody_a  12   16.9  2.8      7.3      9.9      
threeBody_b  8    8.4   2.2      7.9      7.8      
threeBody_c  29   35    4        11.7     14.7     
threeBody_d  22   29    5        55.4     47.8     
