SR                 obs  bkg   bkg_err  S95_obs  S95_exp  
SRlbb-onHiggs-1    4    6     1.3      5        7        
SRlbb-onHiggs-2    3    2.8   0.8      5.4      5.2      
SRlbb-sidebands-1  14   13.1  2.4      10.4     9.8      
SRlbb-sidebands-2  10   8.8   1.7      9.0      8.0      
SRlrr-1            1    1.6   0.4      3.8      3.9      
SRlrr-2            5    3.3   0.8      7.2      5.4      
SRee-1             2    6     1.2      4        6        
SRee-2             1    2.8   0.8      3.4      4.9      
SRmm-1             6    3.8   0.9      7.9      6.0      
SRmm-2             4    2.6   1.1      6.8      5.4      
SRem-1             8    7     1.3      8        7        
SRem-2             4    1.9   0.7      7.1      4.8      
