SR         obs   bkg   bkg_err  S95_obs  S95_exp  
SR120_7_0  444   370   60       170      125      
SR180_7_0  4     6.1   2.2      5.6      6.9      
SR80_7_2   1560  1670  190      266      318      
SR120_7_1  178   138   26       84       59       
SR80_7_1   5800  5900  700      1125     1185     
SR100_7_1  936   940   140      239      240      
SR180_7_1  1     2.3   1.0      3.5      4.6      
SR120_7_2  56    38    17       44       36       
SR140_7_2  18    10    5        20       15       
SR220_6_1  5     3.8   3.0      8.2      7.5      
SR140_7_1  45    41    12       27       25       

