SR       obs   bkg   bkg_errp  bkg_errm  S95_obs  S95_exp  
gaga_SL  0     0.06  0.24      0.03      2.96     3.13     
gaga_SH  0     0.06  0.24      0.04      2.98     2.9      
gaga_WL  5     2.04  0.82      0.75      8.12     5.09     
gaga_WH  1.01  1.01  0.48      0.42      3.47     3.47     
gab_L    12    18.8  5.4       5.4       8.0      11.4     
gab_H    2     3.82  1.25      1.25      4.13     5.51     
gaj_L    2     1.27  0.43      0.43      4.69     3.74     
gaj_H    2     0.84  0.38      0.38      4.73     3.55     
gal_e    16    10.5  1.4       1.4       14.0     8.6      
gal_mu   10    14.1  1.5       1.5       6.6      9.0      
