# This file is not used by CheckMATE 2. To edit values by hand, please refer to the corresponding var.j file!
SR               obs  bkg   bkg_err  S95_obs  S95_exp  S95_exp_errp  S95_exp_errm  
SoftLep1BLow     8    6.1   1.4      8.8      6.9      3.0           2.0           
SoftLep1BHigh    6    4.0   1.1      7.9      6.3      1.9           1.1           
SoftLep2BLow     24   24.1  4.1      13.4     13.2     5.9           4.1           
SoftLep2BHigh    3    3.6   1.4      5.3      5.3      2.4           1.4           
SoftLepJ3        7    5.6   1.6      8.1      7.3      2.7           1.8           
SoftLepJ5        9    14.8  3.7      7.1      10.0     3.6           3.0           
DiMuon           7    1.6   1.0      11.5     5.9      2.1           1.0           
HardElecJ3Inclu  4    3.9   1.0      6.0      5.7      2.2           1.5           
HardElecJ3Ortho  45   46.4  8        19.8     20.2     8.3           4.8           
HardElecJ5Inclu  4    3.6   1.0      6.0      5.4      2.3           1.5           
HardElecJ5Ortho  12   12.2  5.2      12.7     12.6     3.2           2.7           
HardElecJ6Inclu  2    2.0   0.7      4.6      4.4      1.9           0.8           
HardElecJ6Ortho  7    9.7   2.0      6.6      7.8      3.1           2.4           
HardMuonJ3Inclu  5    2.7   0.9      7.7      5.1      2.0           1.5           
HardMuonJ3Ortho  28   38.1  5.8      11.6     15.6     5.8           3.8           
HardMuonJ5Inclu  2    2.5   0.8      4.6      4.7      1.9           1.2           
HardMuonJ5Ortho  7    7.1   1.6      7.7      7.6      2.8           2.4           
HardMuonJ6Inclu  0    1.7   0.6      3.0      4.1      1.3           1.1           
HardMuonJ6Ortho  7    7.4   1.7      7.1      7.1      3.4           1.4           
