SR              obs   bkg   bkg_err  S95_obs  S95_exp  
MONOJ510_550    1021  1032  48       103      111      
MONOJ550_590    694   683   37       96       89       
MONOJ590_640    554   554   28       70       70       
MONOJ640_690    339   322   19       65       53       
MONOJ690_740    196   178   13       51       37       
MONOJ740_790    123   122   8        28       28       
MONOJ790_840    80    74.5  6.6      26.7     22.5     
MONOJ840_900    68    77.8  7.2      16.3     22.3     
MONOJ900_960    37    38.4  4.8      14.8     15.8     
MONOJ960_1020   23    25.1  3.4      11.1     12.7     
MONOJ1020_1090  12    21.1  3        6.0      11.3     
MONOJ1090_1160  7     9.4   1.9      6.1      8.0      
MONOJ1160       26    22.6  3        15.3     12.2     
MONOV250_300    3395  3220  130      419      277      
MONOV300_350    2162  2050  88       274      192      
MONOV350_400    1093  1048  51       152      120      
MONOV400_500    780   775   40       96       92       
MONOV500_600    207   193   14       50       40       
MONOV600_750    90    84.2  6.9      28.1     23.4     
MONOV750        27    24.8  3.1      14.2     13.0     
