SR                     obs     bkg     bkg_err  S95_obs  S95_exp  
A01_2j_0b_600_600      11281   11303   120      295      312      
A02_4j_0b_850_1700     74      69.5    6.1      24.2     20.8     
A03_6j_0b_600_600      505     485     18       71       58       
A04_8j_0-1b_600_600    92      87.3    6.1      26.2     23.0     
A05_10j_0-1b_850_1700  153     141     15       47       39       
A06_4j_2b_300_300      10216   10182   122      327      306      
A07_2j_2b_600_600      287     299     14       36       43       
A08_6j_2b_350_350      1637    1652    34       94       101      
A09_4j_2b_600_600      224     229     11       33       37       
A10_8j_3b_300_300      168     171.5   9.4      29.2     32.5     
A11_6j_1b_600_600      282     290     13       38       43       
A12_10j_3b_850_850     0       0.17    0.12     2.95     2.9      
B001_2-3j_0b_300_300   130718  130568  1100     2365     2257     
B002_2-3j_0b_300_600   7820    7825    110      272      280      
B003_2-3j_0b_300_1200  514     520     24       60       63       
B004_2-3j_0b_350_350   100828  100945  760      1543     1600     
B005_2-3j_0b_350_600   19319   19367   180      420      438      
B006_2-3j_0b_350_1200  933     945     31       77       83       
B007_2-3j_0b_600_600   6786    6807    99       239      249      
B008_2-3j_0b_600_1200  277     280     15       42       43       
B009_2-3j_0b_850_850   933     963     34       70       87       
B010_2-3j_0b_850_1700  50      48.6    6.2      19.4     19.0     
B011_2-3j_1b_300_300   15272   15275   200      450      449      
B012_2-3j_1b_300_600   1177    1170    50       122      117      
B013_2-3j_1b_300_1200  71      74.5    8        20.9     23.0     
B014_2-3j_1b_350_350   11121   11126   140      339      340      
B015_2-3j_1b_350_600   2530    2529    63       156      160      
B016_2-3j_1b_350_1200  127     126     11       32       31       
B017_2-3j_1b_600_600   728     735     30       74       77       
B018_2-3j_1b_600_1200  31      31      4.1      14       14       
B019_2-3j_1b_850_850   112     110     9.8      30       29       
B020_2-3j_1b_850_1700  5       5.7     1.1      5.9      6.4      
B021_2-3j_2b_300_300   1787    1784    74       168      163      
B022_2-3j_2b_300_600   148     156     13       31       35       
B023_2-3j_2b_300_1200  11      10.2    2.6      9.7      8.9      
B024_2-3j_2b_350_350   1159    1158    50       117      115      
B025_2-3j_2b_350_600   322     327     19       49       51       
B026_2-3j_2b_350_1200  13      14.8    3.4      9.2      10.3     
B027_2-3j_2b_600_600   50      57.3    7.3      15.5     20.2     
B028_2-3j_2b_600_1200  4       3.35    0.92     6.25     5.58     
B029_2-3j_2b_850_850   9       9.4     2        8.0      8.3      
B030_2-3j_2b_850_1700  0       0.64    0.2      2.99     2.94     
B031_4-5j_0b_300_300   23241   23228   260      606      579      
B032_4-5j_0b_300_600   7277    7279    120      280      291      
B033_4-5j_0b_300_1200  726     727     31       80       80       
B034_4-5j_0b_350_350   16720   16697   190      473      438      
B035_4-5j_0b_350_600   13837   13814   160      400      381      
B036_4-5j_0b_350_1200  1141    1139    42       107      104      
B037_4-5j_0b_600_600   2028    2013    48       141      127      
B038_4-5j_0b_600_1200  291     292     14       44       44       
B039_4-5j_0b_850_850   360     366     20       50       56       
B040_4-5j_0b_850_1700  51      47.9    5.2      19.9     17.8     
B041_4-5j_1b_300_300   7157    7159    140      310      322      
B042_4-5j_1b_300_600   2387    2391    70       161      164      
B043_4-5j_1b_300_1200  229     230     17       44       43       
B044_4-5j_1b_350_350   4317    4320    97       221      224      
B045_4-5j_1b_350_600   3822    3818    82       201      198      
B046_4-5j_1b_350_1200  350     337     27       71       65       
B047_4-5j_1b_600_600   388     396     21       50       56       
B048_4-5j_1b_600_1200  74      72.2    7.3      24.4     22.1     
B049_4-5j_1b_850_850   73      74.4    7.8      22.3     22.9     
B050_4-5j_1b_850_1700  14      10.8    2.1      11.9     9.3      
B051_4-5j_2b_300_300   2505    2471    83       211      184      
B052_4-5j_2b_300_600   864     872     31       78       83       
B053_4-5j_2b_300_1200  72      69.7    9.3      26.3     24.6     
B054_4-5j_2b_350_350   1208    1211    43       106      108      
B055_4-5j_2b_350_600   1180    1170    38       106      102      
B056_4-5j_2b_350_1200  78      80.9    7.6      22.0     23.8     
B057_4-5j_2b_600_600   98      96.2    8.4      27.0     25.7     
B058_4-5j_2b_600_1200  15      16.3    2.9      10.0     10.6     
B059_4-5j_2b_850_850   15      13.3    2.1      10.9     9.5      
B060_4-5j_2b_850_1700  1       1.6     0.3      3.7      3.9      
B061_4-5j_3b_300_300   222     211     18       53       46       
B062_4-5j_3b_300_600   92      94.6    8.5      23.4     25.3     
B063_4-5j_3b_300_1200  5       7.6     2.1      5.5      7.2      
B064_4-5j_3b_350_350   111     110     11       30       29       
B065_4-5j_3b_350_600   138     132     13       38       35       
B066_4-5j_3b_350_1200  5       7.5     1.9      5.7      7.2      
B067_4-5j_3b_600_600   5       6       1.8      6        7        
B068_4-5j_3b_600_1200  0       0.83    0.24     2.95     2.98     
B069_4-5j_3b_850_850   1       1.09    0.32     3.58     3.69     
B070_4-5j_3b_850_1700  0       0.18    0.06     2.97     2.93     
B071_6-7j_0b_300_300   1480    1495    49       111      119      
B072_6-7j_0b_300_600   1993    2002    54       132      136      
B073_6-7j_0b_300_1200  362     365     19       50       52       
B074_6-7j_0b_350_350   847     861     32       74       86       
B075_6-7j_0b_350_600   2842    2830    70       177      171      
B076_6-7j_0b_350_1200  553     549     27       72       70       
B077_6-7j_0b_600_600   245     248     14       39       41       
B078_6-7j_0b_600_1200  122     109.7   8.1      36.9     26.9     
B079_6-7j_0b_850_850   55      54      5.3      19       19       
B080_6-7j_0b_850_1700  20      17.9    2.9      12.8     11.0     
B081_6-7j_1b_300_300   946     944     36       93       94       
B082_6-7j_1b_300_600   1282    1293    39       96       102      
B083_6-7j_1b_300_1200  197     296     15       68       41       
B084_6-7j_1b_350_350   425     422     22       61       59       
B085_6-7j_1b_350_600   1521    1533    48       111      118      
B086_6-7j_1b_350_1200  269     267     18       50       48       
B087_6-7j_1b_600_600   90      90.3    9.0      25.2     25.9     
B088_6-7j_1b_600_1200  49      50.5    5.2      16.8     17.6     
B089_6-7j_1b_850_850   17      18.6    3.0      9.9      11.3     
B090_6-7j_1b_850_1700  7       6.2     1.5      7.7      7.0      
B091_6-7j_2b_300_300   450     448     20       58       59       
B092_6-7j_2b_300_600   797     797     28       77       77       
B093_6-7j_2b_300_1200  84      79.7    8.6      27.8     24.7     
B094_6-7j_2b_350_350   188     176     11       44       34       
