SR    obs     bkg     bkg_err  S95_obs  S95_exp  
B_2016_00  136865  135005  3515     8078     6871     
B_2016_01  74340   73681   1905     4173     3707     
B_2016_02  42540   42448   822      1735     1644     
B_2016_03  25316   25541   513      872      1034     
B_2016_04  15653   15454   315      803      650      
B_2016_05  10092   10163   195      379      417      
B_2016_06  8298    8473    167      265      362      
B_2016_07  4906    4853    106      280      245      
B_2016_08  2987    2960    67       185      164      
B_2016_09  2032    1907    50       234      131      
B_2016_10  1514    1498    40       121      107      
B_2016_11  926     839     26       151      78       
B_2016_12  557     523     18       86       58       
B_2016_13  316     323     13       40       45       
B_2016_14  233     221     10.2     45       36       
B_2016_15  172     167.2   9.6      36.5     32.3     
B_2016_16  101     106.2   7        21.3     25.5     
B_2016_17  65      87.4    6.9      11.8     21.9     
B_2016_18  46      52.4    4.7      13.4     17.7     
B_2016_19  26      24.7    3.2      13.5     12.8     
B_2016_20  31      25.2    3        17.9     13.3     
B_2016_21  29      26.6    3.1      14.8     13.4     
B_2017_00  176171  169738  3707     12204    7413     
B_2017_01  96067   93267   1976     6043     3846     
B_2017_02  54789   54176   1117     2603     2263     
B_2017_03  32767   32232   666      1752     1320     
B_2017_04  20209   19798   413      1158     838      
B_2017_05  12910   12817   266      623      554      
B_2017_06  10653   10627   218      477      471      
B_2017_07  6487    6408    133      359      304      
B_2017_08  3955    3904    85       244      206      
B_2017_09  2587    2520    58       200      148      
B_2017_10  1957    1930    46       147      124      
B_2017_11  1151    1182    31       70       90       
B_2017_12  721     714     21       72       69       
B_2017_13  455     456     16.3     52       53       
B_2017_14  298     295     12       43       41       
B_2017_15  244     231.2   10.2     47.3     36.4     
B_2017_16  146     146.4   7.4      28.5     28.5     
B_2017_17  89      87.3    5.4      23.5     22.6     
B_2017_18  65      69.3    4.7      17.4     20.1     
B_2017_19  39      32.3    3.2      19.8     14.4     
B_2017_20  35      30.6    3.1      17.0     14.0     
B_2017_21  40      37.4    3.3      16.8     15.0     
B_2018_00  191829  178470  3615     19072    13861   
B_2018_01  104522  97428   1897     10140    7225   
B_2018_02  59398   55595   1059     5527     3890  
B_2018_03  35833   33037   618      3836     2679  
B_2018_04  21854   20715   391      1800     1000  
B_2018_05  14266   13209   250      1500     700   
B_2018_06  11730   10991   214      1120     700   
B_2018_07  8639    7840    152      1090     630   
B_2018_08  5406    4915    101      700      250  
B_2018_09  3285    3066    67       360      172    
B_2018_10  2671    2428    55       366      157   
B_2018_11  1613    1442    36       258      105   
B_2018_12  965     904     25       126      79  
B_2018_13  640     603     19       92       62
B_2018_14  424     386     14       79       48  
B_2018_15  319     272     11       82       41   
B_2018_16  191     176.5   8.5      43.6     31.9
B_2018_17  117     117.8   6.5      25.0     26.4   
B_2018_18  96      75.9    5.2      38.8     21.4
B_2018_19  55      48.5    3.8      22.6     16.5
B_2018_20  43      35.9    3.4      21.1     14.9
B_2018_21  70      53.4    4.1      32.3     18.4   
