SR             obs  bkg   bkg_err  S95_obs  S95_exp  
SR_bveto_aggr  195  214   25       41       51       
SR_bveto_200   82   88.1  9.2      22.0     25.3     
SR_bveto_250   48   48.2  6.7      18.7     19.5     
SR_bveto_300   24   25.4  4.4      12.9     13.4     
SR_bveto_350   9    15.5  3.7      6.4      9.8      
SR_bveto_400   8    12.3  3.1      6.5      9.3      
SR_bveto_450   6    7.9   2.1      6.2      7.6      
SR_bveto_500   9    9.6   2.8      8.3      8.7      
SR_bveto_600   6    6.2   2.2      7.0      7.2      
SR_bveto_800   3    0.9   0.7      6.7      4.9      
SR_WH_aggr     70   65.8  7.3      25.1     22.7     
SR_WH_200  32    34.9  5.4      14.0     15.8
SR_WH_250  13    16.2  3.3      8.2      10.8     
SR_WH_300  8     5.2   1.3      9.3      6.7      
SR_WH_350  8     3.1   1.3      11.3     6.9      
SR_WH_400  4     2.9   1.2      6.7      5.7      
SR_WH_450  3     1.3   0.6      6.3      4.4      
SR_WH_500  1     1.2   1.1      3.7      4.2      
SR_WH_600  1     1.02  1.1      3.9      4.05     
SR_W_aggr  1397  1500  80       107      155      
SR_W_200   680   750   46       61       95       
SR_W_250   312   332   33       56       68       
SR_W_300   175   176   14       37       38       
SR_W_350   95    99.4  9.9      24.5     27.2     
SR_W_400   63    60.7  6.9      22.5     21.2     
SR_W_450   23    34.7  4.7      8.2      14.2     
SR_W_500   28    26.9  3.6      14.0     13.2     
SR_W_600   17    18.8  3.2      10.5     11.4     
SR_W_800   4     3.5   1.7      6.4      5.9      
SR_H_aggr  2504  2530  90       182      195      
SR_H_200   1212  1244  61       117      129      
SR_H_250   563   555   27       75       70       
SR_H_300   282   311   20       34       50       
SR_H_350   160   156   14       40       37       
SR_H_400   115   93    10       47       29       
SR_H_450   60    77.1  8        13.3     22.1     
SR_H_500   65    55.8  7.1      28.7     21.0     
SR_H_600   39    30.2  4.8      23.1     16.1     
SR_H_800   8     7.5   2.5      8.4      8.3      
