SR                         obs  bkg    bkg_errp  bkg_errm  S95_obs  S95_exp  
SRA_b0_a.lowMET            28   28.2   5.4       4.8       14.5     15.1     
SRA_b0_b.mediumMET         6    8.7    3.2       1.9       6.3      7.8      
SRA_b0_c.highMET           5    3.3    2.5       1.0       8.0      6.6      
SRA_b0_d.vhighMET          6    1.9    1.4       0.7       9.8      6.3      
SRA_b1_a.lowMET            21   14.2   4.4       3.3       17.7     12.9     
SRA_b1_b.mediumMET         6    5.8    3.4       2.1       7.9      7.7      
SRA_b1_c.highMET           1    5.0    3.3       2.0       3.5      5.4      
SRA_b1_d.vhighMET          3    1.6    2.4       0.9       6.7      6.0      
SRB_b0_a.lowMET            20   23.1   4.9       3.7       10.7     12.7     
SRB_b0_b.mediumMET         10   8.2    3.4       2.1       10.1     8.9      
SRB_b0_c.highMET           2    0.8    1.2       0.2       5.3      4.6      
SRB_b0_d.vhighMET          0    1.5    2.4       0.9       3.0      3.3      
SRB_b1_a.lowMET            43   44.6   7.7       6.6       17.9     18.6     
SRB_b1_b.mediumMET         22   16.7   5.1       3.9       17.2     13.7     
SRB_b1_c.highMET           3    0.6    1.2       0.3       7.1      6.0      
SRB_b1_d.vhighMET          3    1.4    2.4       0.9       6.9      6.0      
SRC_ATLAS                  12   12     4.0       2.8       10       10       
SRD_cen_a.vlowMll_b_all    437  470.9  29.9      29.9      49.6     69.0     
SRD_cen_a.vlowMll_b0       132  126.7  12.3      12.3      36.7     33.7     
SRD_cen_a.vlowMll_b1       305  344.2  23.9      23.9      35.2     54.4     
SRD_cen_b.lowMll_b_all     129  132.2  12.6      12.6      30.9     34.0     
SRD_cen_b.lowMll_b0        33   38.2   6.2       6.2       13.2     16.2     
SRD_cen_b.lowMll_b1        96   93.9   10.4      10.4      29.5     28.0     
SRD_cen_c.mediumMll_b_all  271  247.9  17.8      17.8      65.3     48.2     
SRD_cen_c.mediumMll_b0     106  93.1   10.5      10.5      39.0     29.3     
SRD_cen_c.mediumMll_b1     165  154.8  13.4      13.4      43.3     36.3     
SRD_cen_d.highMll_b_all    163  164.7  14.5      14.5      35.8     36.6     
SRD_cen_d.highMll_b0       42   48.1   7.0       7.0       14.9     18.2     
SRD_cen_d.highMll_b1       121  116.6  11.8      11.8      34.3     31.4     
SRD_cen_e.vhighMll_b_all   507  467.8  29.9      29.9      103.6    73.3     
SRD_cen_e.vhighMll_b0      141  109.9  11.4      11.4      58.0     32.7     
SRD_cen_e.vhighMll_b1      366  357.9  24.6      24.6      65.7     59.9     
SRE_for_a.vlowMll_b_all    135  107.6  11.9      11.9      54.6     32.9     
SRE_for_a.vlowMll_b0       45   34.7   6.0       6.0       26.4     18.8     
SRE_for_a.vlowMll_b1       90   72.9   9.4       9.4       40.8     26.8     
SRE_for_b.lowMll_b_all     50   46.6   7.1       7.1       22.3     20.1     
SRE_for_b.lowMll_b0        14   15.0   3.7       3.7       10.3     10.5     
SRE_for_b.lowMll_b1        36   31.7   5.7       5.7       20.0     17.1     
SRE_for_c.mediumMll_b_all  92   98.9   10.1      10.1      23.1     27.3     
SRE_for_c.mediumMll_b0     40   44.4   5.9       5.9       14.4     17.3     
SRE_for_c.mediumMll_b1     52   54.5   7.5       7.5       18.8     20.3     
SRE_for_d.highMll_b_all    54   76.7   9.6       9.6       12.8     22.9     
SRE_for_d.highMll_b0       19   22.3   4.7       4.7       10.8     12.6     
SRE_for_d.highMll_b1       35   54.3   7.8       7.8       11.1     18.5     
SRE_for_e.vhighMll_b_all   298  299.4  25.0      25.0      56.0     57.2     
SRE_for_e.vhighMll_b0      92   84.9   10.3      10.3      33.1     27.8     
SRE_for_e.vhighMll_b1      206  214.5  19.4      19.4      41.4     45.5     
