SR   obs  bkg  bkg_err  S95_obs  S95_exp  
SR1_weakino_1low_mll_1   0.001    3.6   1.8  2.9      4.7      
SR1_weakino_1low_mll_2   2    8.5   3.1      3.7      6.8      
SR1_weakino_1low_mll_3   6    8.2   3.0      6.7      8.0      
SR1_weakino_1low_mll_4   5    4.7   2.3      7.2      6.8      
SR1_weakino_2high_mll_1  1    2.4   2.1      3.6      4.7      
SR1_weakino_2high_mll_2  2    4.1   2.0      4.2      5.7      
SR1_weakino_2high_mll_3  2    2.2   1.8      5.1      5.0      
SR1_weakino_2high_mll_4  1    2.6   1.6      3.5      4.6      
SR2_stop_1low_pt_1       4    7.9   3.7      5.4      7.6      
SR2_stop_1low_pt_2       17   18.8  5.3      11.4     12.8      
SR2_stop_1low_pt_3       25   24.7  5.1      14.4     14.4      
SR2_stop_2high_pt_1      9    15.6  7.1      8.2      10.7      
SR2_stop_2high_pt_2      23   18.3  6.6      19.0     16.3      
SR2_stop_2high_pt_1      32   33.3  8.1      17.3     18.1      
