SR      obs     bkg     bkg_err  S95_obs  S95_exp
SR_A01  186.000000  185.000000  22.000000  49.100000  47.500000
SR_A02  34.000000  35.000000  6.000000  16.400000  17.100000
SR_A03  11.000000  9.300000  2.200000  10.100000  8.800000
SR_A04  1.000000  3.300000  1.000000  3.400000  5.100000
SR_A05  5.000000  4.000000  1.000000  6.900000  5.900000
SR_A06  60.000000  50.000000  8.000000  29.700000  22.900000
SR_A07  19.000000  15.000000  4.000000  15.100000  12.500000
SR_A08  1.000000  1.900000  0.600000  3.700000  4.200000
SR_A09  3.000000  0.800000  0.400000  6.300000  4.100000
SR_A10  16.000000  13.000000  2.800000  12.900000  10.400000
SR_A11  17.000000  11.900000  3.200000  15.000000  11.200000
SR_A12  4.000000  3.100000  1.200000  6.700000  5.800000
SR_A13  3.000000  2.100000  0.800000  5.600000  5.000000
SR_A14  1.000000  0.900000  0.400000  3.600000  3.300000
SR_A15  2278.000000  2180.000000  260.000000  548.800000  488.900000
SR_A16  429.000000  440.000000  70.000000  115.500000  121.000000
SR_A17  123.000000  129.000000  28.000000  45.900000  48.700000
SR_A18  37.000000  48.000000  10.000000  14.500000  20.200000
SR_A19  38.000000  42.000000  9.000000  17.100000  20.000000
SR_A20  5.000000  8.500000  2.100000  5.500000  7.400000
SR_A21  2.000000  2.600000  0.800000  4.500000  5.000000
SR_A22  391.000000  390.000000  50.000000  96.900000  94.300000
SR_A23  61.000000  72.000000  19.000000  26.200000  30.900000
SR_A24  9.000000  10.000000  4.000000  8.800000  9.500000
SR_A25  8.000000  4.900000  1.900000  10.100000  7.400000
SR_A26  35.000000  37.000000  9.000000  18.800000  19.400000
SR_A27  17.000000  21.000000  8.000000  12.600000  14.400000
SR_A28  7.000000  8.900000  3.100000  7.100000  8.100000
SR_A29  5.000000  3.600000  1.300000  7.300000  6.000000
SR_A30  3.000000  4.100000  1.600000  5.000000  5.600000
SR_A31  1.000000  1.000000  0.500000  3.400000  3.400000
SR_A32  123.000000  121.000000  14.000000  35.600000  34.400000
SR_A33  32.000000  32.000000  5.000000  15.400000  15.300000
SR_A34  4.000000  11.600000  2.600000  4.400000  8.400000
SR_A35  6.000000  2.900000  0.800000  8.600000  5.600000
SR_A36  5.000000  3.700000  1.000000  7.100000  6.000000
SR_A37  17.000000  32.000000  5.000000  7.600000  13.500000
SR_A38  9.000000  9.600000  2.400000  7.900000  8.700000
SR_A39  0.001000  2.400000  0.700000  3.000000  4.500000
SR_A40  2.000000  1.000000  0.400000  4.800000  3.900000
SR_A41  9.000000  9.400000  2.400000  8.200000  8.200000
SR_A42  3.000000  6.600000  2.100000  4.400000  6.700000
SR_A43  0.001000  3.100000  1.000000  2.900000  4.900000
SR_A44  0.001000  2.500000  0.800000  3.000000  4.600000
SR_B01  47.000000  52.000000  11.000000  19.800000  23.400000
SR_B02  19.000000  23.000000  6.000000  11.200000  14.100000
SR_B03  20.000000  31.000000  7.000000  9.200000  14.500000
SR_B04  2.000000  4.600000  1.600000  4.000000  5.600000
SR_B05  3.000000  1.800000  0.800000  5.800000  4.800000
SR_B06  6.000000  4.100000  1.000000  8.000000  5.800000
SR_C01  420.000000  440.000000  130.000000  180.200000  188.900000
SR_C02  22.000000  30.000000  8.000000  11.500000  15.500000
SR_C03  2.000000  8.500000  2.600000  3.900000  6.800000
SR_C04  2.000000  1.900000  0.800000  4.500000  4.600000
SR_C05  1.000000  1.100000  0.600000  3.600000  3.600000
SR_C06  3427.000000  3700.000000  1100.000000  1385.400000  1506.000000
SR_C07  97.000000  83.000000  14.000000  44.000000  34.200000
SR_C08  18.000000  19.400000  3.100000  10.200000  11.500000
SR_C09  17.000000  14.600000  2.600000  12.300000  10.500000
SR_C10  0.001000  3.200000  0.700000  3.000000  5.100000
SR_C11  1.000000  1.500000  0.600000  3.500000  4.000000
SR_C12  223.000000  231.000000  65.000000  95.800000  99.400000
SR_C13  32.000000  41.000000  11.000000  15.400000  19.300000
SR_C14  6.000000  11.000000  4.000000  5.900000  8.500000
SR_C15  1.000000  2.700000  1.100000  3.500000  4.900000
SR_C16  3.000000  2.900000  1.000000  5.300000  5.300000
SR_C17  10.000000  8.800000  2.000000  9.400000  8.300000
SR_C18  1.000000  1.900000  0.700000  3.600000  4.300000
SR_D01  126.000000  140.000000  40.000000  53.400000  59.900000
SR_D02  37.000000  41.000000  12.000000  19.700000  22.700000
SR_D03  7.000000  8.700000  2.700000  6.900000  8.300000
SR_D04  2.000000  2.700000  1.100000  4.400000  5.100000
SR_D05  1.000000  2.300000  0.900000  3.400000  4.600000
SR_D06  102.000000  117.000000  32.000000  42.000000  48.000000
SR_D07  24.000000  35.000000  10.000000  11.900000  16.700000
SR_D08  4.000000  7.800000  2.500000  5.000000  7.000000
SR_D09  1.000000  2.900000  1.200000  3.500000  5.000000
SR_D10  1.000000  1.400000  0.600000  3.700000  3.900000
SR_D11  21.000000  32.000000  10.000000  11.700000  15.600000
SR_D12  7.000000  11.000000  4.000000  6.700000  9.100000
SR_D13  7.000000  3.700000  1.500000  9.800000  6.900000
SR_D14  0.001000  3.000000  1.200000  3.000000  4.800000
SR_D15  1.000000  1.400000  0.700000  3.500000  4.000000
SR_D16  0.001000  0.060000  0.050000  2.940000  2.920000
SR_E01  56.000000  40.000000  7.000000  33.300000  20.700000
SR_E02  12.000000  9.400000  2.200000  10.800000  8.700000
SR_E03  3.000000  5.000000  1.500000  4.700000  6.000000
SR_E04  0.001000  0.950000  0.320000  3.060000  3.010000
SR_E05  1.000000  0.890000  0.320000  3.630000  3.170000
SR_E06  28.000000  34.000000  6.000000  12.300000  15.600000
SR_E07  9.000000  4.800000  1.200000  11.000000  6.800000
SR_E08  1.000000  2.200000  0.900000  3.500000  4.500000
SR_E09  1.000000  0.700000  0.400000  3.700000  3.300000
SR_E10  0.001000  0.730000  0.320000  3.000000  2.970000
SR_E11  4.000000  5.400000  1.500000  5.200000  6.400000
SR_E12  4.000000  4.900000  1.400000  5.600000  6.200000
SR_F01  146.000000  170.000000  50.000000  60.100000  70.000000
SR_F02  21.000000  24.000000  7.000000  13.300000  14.600000
SR_F03  2.000000  5.800000  2.000000  3.800000  6.100000
SR_F04  1.000000  1.800000  0.800000  3.700000  4.400000
SR_F05  1.000000  0.900000  0.600000  3.700000  3.500000
SR_F06  0.001000  0.230000  0.170000  2.970000  2.880000
SR_F07  34.000000  42.000000  11.000000  16.200000  20.000000
SR_F08  6.000000  7.000000  2.100000  6.800000  7.500000
SR_F09  3.000000  1.900000  0.800000  5.700000  4.900000
SR_F10  2.000000  1.300000  0.600000  4.400000  4.100000
SR_F11  1.000000  3.000000  1.100000  3.400000  5.000000
SR_F12  1.000000  0.450000  0.300000  3.540000  3.070000
SR_G01  619.000000  460.000000  120.000000  327.900000  245.600000
SR_G02  51.000000  45.000000  14.000000  31.600000  27.900000
SR_G03  2.000000  2.700000  0.800000  4.300000  5.000000
SR_G04  2.000000  1.120000  0.330000  4.680000  3.910000
SR_G05  0.001000  0.970000  0.320000  3.030000  3.240000
SR_H01  14.000000  10.900000  2.200000  11.800000  9.100000
SR_H02  6.000000  7.700000  1.500000  6.000000  7.200000
SR_H03  0.001000  2.700000  0.600000  3.000000  4.800000
SR_H04  1.000000  1.900000  0.600000  3.700000  4.300000
SR_I01  51.000000  42.000000  8.000000  28.300000  21.300000
SR_I02  14.000000  16.400000  3.500000  9.200000  10.500000
SR_I03  4.000000  4.700000  1.400000  5.800000  6.400000
SR_I04  5.000000  2.900000  0.900000  7.700000  5.600000
SR_J01  29.000000  30.000000  7.000000  16.300000  17.200000
SR_J02  5.000000  5.700000  1.700000  6.200000  6.700000
SR_J03  1.000000  0.900000  0.500000  3.700000  3.400000
SR_J04  0.001000  0.630000  0.320000  3.050000  2.950000
SR_K01  30.000000  24.000000  8.000000  22.300000  19.100000
SR_K02  1.000000  0.070000  0.130000  4.020000  3.060000
SR_K03  0.001000  0.600000  0.400000  3.100000  2.900000
SS01  1193.000000  1430.000000  180.000000  185.600000  267.000000
SS02  50.000000  56.000000  9.000000  17.500000  21.700000
SS03  25.000000  36.000000  7.000000  10.100000  15.800000
SS04  7.000000  5.900000  1.200000  7.900000  6.700000
SS05  2.000000  4.500000  3.500000  4.500000  5.800000
SS06  143.000000  163.000000  19.000000  29.500000  40.900000
SS07  41.000000  38.000000  6.000000  19.600000  17.400000
SS08  24.000000  23.000000  4.000000  13.600000  13.100000
SS09  11.000000  14.400000  3.200000  7.600000  9.900000
SS10  6.000000  6.300000  0.900000  6.300000  6.600000
SS11  67.000000  82.000000  12.000000  18.300000  25.800000
SS12  19.000000  27.000000  4.000000  8.200000  12.500000
SS13  18.000000  18.000000  4.000000  11.900000  11.900000
SS14  9.000000  5.000000  0.800000  10.400000  6.200000
SS15  3.000000  5.100000  2.600000  5.000000  6.300000
SS16  591.000000  603.000000  80.000000  136.500000  145.700000
SS17  116.000000  98.000000  14.000000  47.800000  34.200000
SS18  69.000000  66.000000  10.000000  26.800000  24.800000
SS19  43.000000  33.000000  6.000000  26.100000  18.300000
SS20  13.000000  11.400000  1.700000  10.200000  8.900000
SS21  232.000000  264.000000  31.000000  42.900000  58.000000
SS22  52.000000  51.000000  7.000000  20.500000  19.800000
SS23  35.000000  31.000000  4.000000  17.700000  14.400000
SS24  28.000000  29.000000  5.000000  14.200000  14.600000
SS25  27.000000  22.200000  3.400000  16.600000  12.900000
SS26  49.000000  44.000000  7.000000  23.200000  19.800000
SS27  18.000000  16.400000  2.900000  12.100000  11.100000
SS28  13.000000  10.700000  1.900000  10.600000  8.900000
SS29  9.000000  6.700000  1.100000  9.100000  7.000000
SS30  7.000000  3.900000  0.800000  8.900000  6.000000
