SR  obs  bkg  bkg_err  S95_obs  S95_exp  
SR1_weakino_1low_mll_1  2  3.5  1.0      4.2      5.2      
SR1_weakino_1low_mll_2   15    12.0   2.3      11.8      9.7      
SR1_weakino_1low_mll_3   19    17.0   2.4      12.1      10.8      
SR1_weakino_1low_mll_4   18    11.0   2.0      16.0      9.6      
SR1_weakino_2media_mll_1  1  1.6  0.7      3.8      4.2      
SR1_weakino_2media_mll_2   0.001    3.5   0.9      3.0      5.3      
SR1_weakino_2media_mll_3   3    2.0   0.7      5.6      4.7      
SR1_weakino_2media_mll_4   1    0.51   0.51      3.67      3.32      
SR1_weakino_3high_mll_1  2    1.4   0.7      4.5     4.3     
SR1_weakino_3high_mll_2  1    1.5   0.6      3.5      4.0      
SR1_weakino_3high_mll_3  2    1.5   0.8      4.6      4.4      
SR1_weakino_3high_mll_4  0.001    1.2   0.6      3.1      3.4      
SR2_stop_1low_pt_1       16    14.0   2.3      11.4      10.1      
SR2_stop_1low_pt_2       51   37.0  6.8      30.4     19.8      
SR2_stop_1low_pt_3       67   54.0  6.5      31.5     21.0     
SR2_stop_2media_pt_1       23    23.0   3.5      12.7      12.6      
SR2_stop_2media_pt_2       40   41.0  5.6      16.3     17.5      
SR2_stop_2media_pt_3       44   45.0  7.0      18.0     18.6      
SR2_stop_3high_pt_1      4    4.7  1.3      5.6      6.1      
SR2_stop_3high_pt_2      11   10.0  1.9      9.4     8.4      
SR2_stop_3high_pt_3      9   10.0  2.5      8.0     8.5
