SR               obs     bkg     bkg_err  S95_obs  S95_exp  
2j_loose         41      37      14       28       26       
2j_tight         13      18.7    4.2      8.3      11.1     
4j_loose         72      54      13       44       31       
4j_tight         10      6.4     2.5      11.5     8.8      
7j_loose         72      63      13       35       31       
7j_tight         14      14.9    4.3      10.6     11.4     
10j_loose        25      17.3    4        19.5     13.5     
10j_tight        5       3.6     1.2      7.4      5.8      
2b_loose         33      32      4.5      15       15       
2b_tight         12      12      2.8      10       10       
3b_loose         16      17.6    4        10.3     11.9     
3b_tight         5       7.5     2.1      5.6      7.3      
4b_loose         2       2.1     0.7      4.6      4.7      
4b_tight         1       0.8     0.4      3.7      3.3      
7j_3b_loose      8       10.9    3        7.2      8.6      
7j_3b_tight      4       4.6     2        5.9      6.5      
7j_4b_loose      2       1.7     0.7      4.5      4.4      
7j_4b_tight      1       0.7     0.4      3.7      3.3      
10j_4b_loose     1       0.6     0.5      3.8      3.4      
10j_4b_tight     0       0.1     0.5      3.0      3.1      
Mono-phi         550000  520000  30000    78017    57344    
1j_0b_250        251941  238000  14000    37396    26844    
1j_0b_350        54870   53600   3700     7732     6949     
1j_0b_450        14473   13910   870      2073     1657     
1j_0b_575        3432    3200    220      592      438      
1j_0b_750        1304    1295    106      211      201      
1j_0b_1000       98      98      25       44       44       
1j_0b_1200       30      26      13       25       23       
1j_1b_250        13549   13310   860      1770     1590     
1j_1b_350        3078    3060    246      474      463      
1j_1b_450        810     863     80       118      147      
1j_1b_575        184     205     34       49       59       
1j_1b_700        83      94      22       32       37       
2-3j_0b_250_200  240867  231000  16000    37333    29666    
2-3j_0b_250_300  44074   43400   3200     6296     5736     
2-3j_0b_250_400  2022    1870    168      428      331      
2-3j_1b_250_200  32120   31300   2200     4660     4224     
2-3j_1b_250_300  6258    6130    440      909      819      
2-3j_1b_250_400  275     271     46       89       84       
2-3j_2b_250_200  4709    4600    345      721      636      
2-3j_2b_250_300  984     868     73       240      158      
2-3j_2b_250_400  30      35      6.5      14       16       
2-6j_3b_250_200  699     688     72       148      138      
2-6j_3b_250_300  102     109     19       33       37       
2-6j_3b_250_400  0       2.9     1.1      2.9      4.6      
4-6j_0b_250_200  35187   34400   2400     4961     4596     
4-6j_0b_250_300  6725    6750    520      924      964      
4-6j_0b_250_400  170     197     67       78       87       
4-6j_1b_250_200  10564   10120   700      1637     1363     
4-6j_1b_250_300  1769    1710    130      297      254      
4-6j_1b_250_400  40      45      14       21       24       
4-6j_2b_250_200  3621    3480    250      577      479      
4-6j_2b_250_300  496     419     41       149      94       
4-6j_2b_250_400  14      9.8     3.2      13.7     10.5     
7j_0b_250_200    108     119     39       52       56       
7j_0b_250_300    30      12      5.7      31       21       
7j_0b_250_500    0       0.1     3.4      3.1      3.0      
7j_1b_250_200    95      68      24       64       51       
7j_1b_250_300    12      5.6     3.5      15.7     11.8     
7j_2b_250_200    30      47.6    11       11.6     18.6     
7j_2b_250_300    1       2.9     1.6      3.5      4.9      
7j_3b_250_200    17      8.4     2.4      17.1     10.1     
7j_3b_250_300    0       0.59    0.44     3.03     2.92     
