SR                     obs     bkg     bkg_err  S95_obs  S95_exp  
A01_2j_0b_600_600      11281  12320  460      496      810      
A02_4j_0b_850_1700     74     65.8   8.3      29.9     23.7     
A03_6j_0b_600_600      505    489    23       74       62       
A04_8j_0-1b_600_600    63     54.3   7        28.1     21.0     
A05_10j_0-1b_850_1700  153    141    15       46       38       
A06_4j_2b_300_300      10216  10090  350      784      702      
A07_2j_2b_600_600      287    336    32       40       61       
A08_6j_2b_350_350      1637   1720   59       91       136      
A09_4j_2b_600_600      224    230    20       43       46       
A10_8j_3b_300_300      168    176    17       35       40       
A11_6j_1b_600_600      282    304    23       40       53       
A12_10j_3b_850_850     0      0.1    2.4      3.0      3.0      
B001_2-3j_0b_300_300   130718  129800  3000     6335     5738     
B002_2-3j_0b_300_600   7820    8060    300      439      569      
B003_2-3j_0b_300_1200  514     552     50       76       98       
B004_2-3j_0b_350_350   100828  104900  2350     2471     4363     
B005_2-3j_0b_350_600   19319   20100   460      520      895      
B006_2-3j_0b_350_1200  933     997     51       75       112      
B007_2-3j_0b_600_600   6786    7520    370      394      636      
B008_2-3j_0b_600_1200  277     293     21       44       51       
B009_2-3j_0b_850_850   933     1205    102      118      158      
B010_2-3j_0b_850_1700  50      50.7    8.4      20.9     20.9     
B011_2-3j_1b_300_300   15272   15800   1500     2348     2544     
B012_2-3j_1b_300_600   1177    1150    125      255      233      
B013_2-3j_1b_300_1200  71      84      20       27       33       
B014_2-3j_1b_350_350   11121   11900   1300     1754     2108     
B015_2-3j_1b_350_600   2530    2590    270      434      473      
B016_2-3j_1b_350_1200  127     132     18       36       39       
B017_2-3j_1b_600_600   728     880     110      114      167      
B018_2-3j_1b_600_1200  31      32.3    6        15.4     16.3     
B019_2-3j_1b_850_850   112     133     23       31       40       
B020_2-3j_1b_850_1700  5       6       3.7      7        8        
B021_2-3j_2b_300_300   1787    1710    300      552      517      
B022_2-3j_2b_300_600   148     186     34       38       53       
B023_2-3j_2b_300_1200  11      10.2    5        11.7     10.9     
B024_2-3j_2b_350_350   1159    1190    250      379      389      
B025_2-3j_2b_350_600   322     373     65       80       101      
B026_2-3j_2b_350_1200  13      17.5    6        9.5      11.6     
B027_2-3j_2b_600_600   50      89      23       16       28       
B028_2-3j_2b_600_1200  4       3.4     3        7.4      6.9      
B029_2-3j_2b_850_850   9       12.6    6        8.5      10.2     
B030_2-3j_2b_850_1700  0       0.7     3.7      3.0      3.0      
B031_4-5j_0b_300_300   23241  23280  830      1534     1549     
B032_4-5j_0b_300_600   7277   7440   390      621      725      
B033_4-5j_0b_300_1200  726    760    160      234      247      
B034_4-5j_0b_350_350   16720  16820  510      974      1011     
B035_4-5j_0b_350_600   13837  13870  400      778      798      
