# This file is not used by CheckMATE 2. To edit values by hand, please refer to the corresponding var.j file!
SR          obs   bkg   bkg_errp  bkg_errm  S95_obs        S95_exp        
23j_0b_275  6232  6235  100       67        226.150990935  230.865893313  
23j_0b_325  2904  2900  60        54        158.942840569  156.780716566  
23j_0b_375  1965  1955  34        39        122.928139116  116.473189895  
23j_0b_475  552   558   14        15        52.2546387094  55.7136082092  
23j_0b_575  177   186   11        10        28.3154336942  34.9463802938  
23j_0b_675  58    51.3  3.4       3.8       22.534179886   16.9242003185  
23j_0b_775  16    21.2  2.3       2.2       7.7162070414   11.2543929791  
23j_0b_875  25    16.1  1.7       1.7       18.5452114016  10.1155768023  
23j_1b_275  1164  1162  37        29        97.7251270732  96.5991481282  
23j_1b_325  473   481   18        19        51.2011513063  58.9160706343  
23j_1b_375  329   341   15        16        39.5273074827  49.3011620183  
23j_1b_475  95    86.7  4.2       5.6       28.8152614319  21.7922333318  
23j_1b_575  23    24.8  2.8       2.7       10.8946983494  12.1872642996  
23j_1b_675  8     7.2   1.1       1         7.6165742426   6.8636030083   
23j_1b_775  4     3.3   0.7       0.7       6.1063271337   5.2664384025   
23j_1b_875  1     2.1   0.5       0.5       3.5318768614   4.2841584921   
23j_2b_275  222   224   15        14        40.7796793391  42.6093619538  
23j_2b_325  107   98.2  8.4       6.4       32.1310627518  25.4122119496  
23j_2b_375  58    59    5.2       6         19.186236591   19.6842134577  
23j_2b_475  12    12.8  1.6       1.6       8.3843137572   8.6552468577   
23j_2b_575  5     3     0.9       0.7       7.3844283706   5.1689429178   
23j_2b_675  1     0.5   0.2       0.2       4.0228551955   3.2204927571   
23j_2b_775  0     0.1   0.1       0.1       3.4094143717   3.029603103    
23j_2b_875  0     0.1   0.1       0.1       3.4094143717   3.029603103    
4j_0b_275   1009  1010  34        24        86.7364073547  87.6705898919  
4j_0b_325   452   447   19        16        58.7120101422  55.708951388   
4j_0b_375   375   390   19        15        41.7954312811  52.8744690245  
4j_0b_475   274   250   12        11        59.2130557658  39.8707569058  
4j_0b_575   113   111   9         7         28.5188373799  27.033301416   
4j_0b_675   56    53.3  4.3       4.3       19.7069338214  17.9274506516  
4j_0b_775   16    18.5  2.4       2.4       8.5949685077   10.5480195864  
4j_0b_875   27    19.4  2.5       2.7       18.3853331638  11.5855274013  
4j_1b_275   515   521   25        17        56.5895822536  63.4335163754  
4j_1b_325   236   232   15        12        43.9891409007  41.5261075904  
4j_1b_375   204   188   12        11        48.3834761398  37.0846628767  
4j_1b_475   92    106   6         6         16.4274176737  24.6426212425  
4j_1b_575   51    42.1  4.1       4.4       23.8059820798  16.7055429476  
4j_1b_675   13    17.9  2.2       2         7.5283854065   10.5506803381  
4j_1b_775   13    9.8   1.5       1.4       11.2884827197  7.7582753894   
4j_1b_875   6     6.8   1.2       1.1       6.2746993277   6.7699617341   
4j_2b_275   204   208   17        9         36.2156231416  39.8649863153  
4j_2b_325   107   103   9         7         29.9101679863  26.9101285716  
4j_2b_375   84    85.9  7.2       6.9       22.7991380623  23.9972008718  
4j_2b_475   59    51.7  4.6       4.7       24.4532514328  18.3906042664  
4j_2b_575   24    19.9  3.4       3         15.2320300021  12.5001980419  
4j_2b_675   5     6.8   1.2       1.3       5.514952609    6.844480146    
4j_2b_775   1     1.7   0.7       0.4       3.6017819741   4.1187834054   
4j_2b_875   2     1.3   0.4       0.3       4.8888916814   3.8597582055   
4j_3b_275   25    25.3  5         4.2       14.0207178705  14.2671857866  
4j_3b_325   13    11.7  1.7       1.8       9.967408803    8.7049235231   
4j_3b_375   4     6.7   1.4       1.2       5.0050827676   6.6710150825   
4j_3b_475   2     3.9   0.8       0.8       3.9817816113   5.153651546    
4j_3b_575   2     2.3   0.6       0.6       4.2949881029   4.3583335809   
4j_3b_675   3     1.2   0.3       0.4       6.0350470247   3.9050796617   
4j_3b_775   0     0.3   0.2       0.1       2.9914474223   3.026498852    
4j_3b_875   0     0.1   0.1       0.1       3.4094143717   3.029603103    
4j_4b_275   1     0.9   0.4       0.7       3.9107793352   3.6088877439   
4j_4b_325   0     0.3   0.2       0.2       2.9874992072   3.0003359048   
4j_4b_375   2     0.6   0.3       0.3       5.1630046641   3.3787137038   
