# This file is not used by CheckMATE 2. To edit values by hand, please refer to the corresponding var.j file!
SR             bkg            bkg_err        obs            S95_exp        S95_obs      
0_50_0         132.0          19.0           138.0          40.7783270661  46.2402405   
0_100_0        20.0           4.0            16.0           11.5738957766  9.0929052083 
0_150_0        4.0            0.8            5.0            5.68270080167  6.54080946811
0_200_0        1.9            0.4            2.0            4.14980237089  4.30675859221
0_50_75        776.0          125.0          821.0          231.836524803  252.564800536
0_100_75       131.0          30.0           123.0          50.1821326892  46.5324750062
0_150_75       34.0           8.0            34.0           18.5807609667  18.5201324649
0_200_75       21.0           7.0            14.0           12.495904595   9.31267174201
0_50_105       45.0           7.0            49.0           19.0693027954  22.0409986861
0_100_105      10.0           1.9            10.0           8.59611746195  8.40330396964
0_150_105      2.5            0.5            4.0            4.9541033208   6.50508962376
0_200_105      1.2            0.3            4.0            3.72723633828  7.29105223429
120_50_0       9.6            1.7            8.0            8.08305119602  6.65024000615
120_100_0      3.3            0.8            2.0            5.15471652753  4.03271854246
120_150_0      0.26           0.1            0.0            2.90561537364  2.94115755365
120_200_0      0.29           0.11           0.0            2.89318029004  2.9175912383 
120_50_75      23.0           5.0            29.0           14.7344451609  19.578433208 
120_100_75     3.4            0.7            4.0            5.51588581914  6.02676980493
120_150_75     0.72           0.19           1.0            3.00573587383  3.71103117575
120_200_75     0.36           0.12           1.0            3.01914173642  3.57987360927
120_50_105     2.7            0.5            4.0            5.08216800192  6.11687595542
120_100_105    0.71           0.22           2.0            3.14184072515  4.86482467741
120_150_105    0.38           0.14           0.0            2.91843046661  2.97017521128
120_200_105    0.24           0.2            0.0            3.04158801319  2.96601579345
160_50_0       5.8            1.1            12.0           7.07022036659  13.4720960881
160_100_0      4.5            1.1            3.0            6.05036597051  4.80603156974
160_150_0      1.5            0.4            2.0            3.91998897965  4.50478134207
160_200_0      0.81           0.21           0.0            2.97141973933  2.93945071631
160_50_75      7.5            1.4            13.0           7.65485385834  13.1771134987
160_100_75     4.0            1.0            8.0            6.20623972872  10.4412303199
160_150_75     1.5            0.5            3.0            4.1794363404   5.92597493431
160_200_75     1.1            0.4            2.0            3.93013779241  4.75050106987
160_50_105     2.6            1.2            1.0            4.64612371506  3.52178827658
160_100_105    1.8            0.9            3.0            4.90360214463  5.91177498966
160_150_105    0.7            0.4            0.0            2.9750121354   3.02757575572
160_200_105    0.4            0.24           0.0            2.90036292958  3.0049322282 
Zjj_000        75929.0        3042.0         76302.0        5791.63489853  6033.15501228
Zjj_030        21364.0        859.0          20991.0        1595.45479319  1378.84372624
Zjj_060        754.0          154.0          809.0          268.336858038  294.257640282
Zjj_080        110.0          23.0           115.0          44.6128985709  48.1133600365
Zjj_100        35.4           5.5            36.0           16.1498714962  17.1192953769
Zjj_120        22.5           3.5            25.0           12.5925414725  14.5689016146
Zjj_150        11.3           2.2            13.0           9.23754034985  10.387944098 
Zjj_200        3.6            1.0            4.0            5.76022570799  6.03927225419
SS_200         19.4           6.0            22.0           14.9905697759  16.5616992737
SS_200_l3v     15.6           5.1            18.0           12.9803935451  14.8764021833
SS_120         11.5           3.3            8.0            9.23789396048  6.76566785185
SS_120_l3v     7.9            2.8            4.0            7.1454735724   4.93709551003
Wbb_100        7.7            1.9            7.0            7.71905367047  7.06041108178
Wbb_125        5.4            1.3            6.0            6.27876211327  7.16238732496
Wbb_150        3.8            1.0            3.0            5.67773052782  4.95322798969
Wbb_175        2.3            0.6            3.0            4.85273825432  5.27833517156
noOSSF_000     52.0           12.0           53.0           25.5747240352  26.2747245885
noOSSF_050     38.0           15.0           35.0           23.8307561077  22.6242432805
noOSSF_100     9.3            4.3            7.0            8.92947369296  7.45193970691
MCT120_SF      10.0           3.0            5.0            7.91241255489  5.29011468356
MCT120_OF      4.0            3.0            5.0            7.53441633061  8.11914491353
