SR          obs  bkg   bkg_err  S95_obs  S95_exp  
SR_low_emu  71   73.9  4.1      17.3     19.4     
SR_emu_90   25   20.1  1.6      15.0     10.6     
SR_emu_150  16   13.8  1.1      11.0     9.0      
SR_emu_200  7    6.2   0.7      7.3      6.7      
SR_emu_250  7    4.7   0.6      8.3      6.2      
SR_emu_300  4    2.2   0.6      6.7      4.9      
SR_emu_350  4    1.6   0.4      6.8      4.2      
SR_emu_400  4    1.6   0.4      7.0      4.2      
SR_emu_500  4    1.6   0.4      7.0      4.2      
SR_low_ee   33   32.6  3.2      13.9     14.2     
SR_ee_90    23   17.8  2.2      15.5     10.7     
SR_ee_150   7    9.9   1.9      6.1      7.9      
SR_ee_200   3    4.3   1.3      4.9      5.8      
SR_ee_250   4    3.8   1.4      6.2      5.9      
SR_ee_300   4    2.6   1.3      6.9      5.6      
SR_ee_500   4    2.4   1.3      7.1      5.9      
