analysis             sr                         signal_normevents  signal_err_tot         
atlas_1604_01306     SR1                        0.0                0                      
atlas_1605_09318     SR-Gbb-A                   0.130426           0.03488930132327279    
atlas_1605_09318     SR-Gbb-B                   0.149194           0.03732813825474115    
atlas_1605_09318     SR-Gbb-C                   0.347029           0.05635866689227749    
atlas_1605_09318     SR-Gtt-0L-A                0.202926           0.0433021330874021     
atlas_1605_09318     SR-Gtt-0L-B                0.0460354          0.020588082251821238   
atlas_1605_09318     SR-Gtt-0L-C                0.0460354          0.020588082251821238   
atlas_1605_09318     SR-Gtt-1L-A                0.105198           0.03175396847371514    
atlas_1605_09318     SR-Gtt-1L-B                0.104929           0.03166940065277668    
atlas_1609_01599     2muSS                      0.0                0                      
atlas_1609_01599     3lZ1b4j                    0.0                0                      
atlas_1609_01599     3lZ2b3j                    0.0                0                      
atlas_1609_01599     3lZ2b4j                    0.0                0                      
atlas_1609_01599     3lnoZ2b                    0.0                0                      
atlas_1609_01599     4lDF1b                     0.0                0                      
atlas_1609_01599     4lDF2b                     0.0                0                      
atlas_1609_01599     4lSF1b                     0.0                0                      
atlas_1609_01599     4lSF2b                     0.0                0                      
atlas_1704_03848     SRE1                       0.0                0                      
atlas_1704_03848     SRE2                       0.0                0                      
atlas_1704_03848     SRI1                       0.0                0                      
atlas_1704_03848     SRI2                       0.0                0                      
atlas_1704_03848     SRI3                       0.0                0                      
atlas_1706_03731     Rpc2L0bH                   0.206667           0.14613904725021548    
atlas_1706_03731     Rpc2L0bS                   0.104034           0.10403411286318037    
atlas_1706_03731     Rpc2L1bH                   0.195451           0.1383037294276415     
atlas_1706_03731     Rpc2L1bS                   0.195451           0.1383037294276415     
atlas_1706_03731     Rpc2L2bH                   0.195451           0.1383037294276415     
atlas_1706_03731     Rpc2L2bS                   0.195451           0.1383037294276415     
atlas_1706_03731     Rpc2Lsoft1b                0.0                0                      
atlas_1706_03731     Rpc2Lsoft2b                0.0                0                      
atlas_1706_03731     Rpc3L0bH                   0.195196           0.1382078622685449     
atlas_1706_03731     Rpc3L0bS                   0.195196           0.1382078622685449     
atlas_1706_03731     Rpc3L1bH                   0.101424           0.10142406349314878    
atlas_1706_03731     Rpc3L1bS                   0.101424           0.10142406349314878    
atlas_1706_03731     Rpc3LSS1b                  0.0                0                      
atlas_1706_03731     Rpv2L0b                    0.206667           0.14613904725021548    
atlas_1706_03731     Rpv2L1bH                   0.0940263          0.09402636154616643    
atlas_1706_03731     Rpv2L1bM                   0.0940263          0.09402636154616643    
atlas_1706_03731     Rpv2L1bS                   0.0940263          0.09402636154616643    
atlas_1706_03731     Rpv2L2bH                   0.0940263          0.09402636154616643    
atlas_1706_03731     Rpv2L2bS                   0.0940263          0.09402636154616643    
atlas_1708_07875     sr1-lowmass                0.283763           0.16384762249670093    
atlas_1708_07875     sr2-highmass               0.0                0                      
atlas_1709_04183     SRA-T0                     1.58342            0.39639136663561964    
atlas_1709_04183     SRA-TT                     2.31554            0.48326926410181625    
atlas_1709_04183     SRA-TW                     0.709314           0.26825416528899076    
atlas_1709_04183     SRB-T0                     1.50101            0.3880488722357154     
atlas_1709_04183     SRB-TT                     2.62855            0.5159202445445729     
