analysis             sr                        o      b      db                  s                     ds                    s95obs  s95exp  robscons               rexpcons                
atlas_1604_01306     SR1                       264.0  295.0  34.0                0                     0.0                   49.0    63.0    0.0                    0.0                     
atlas_1605_09318     SR-Gbb-C                  5.0    7.6    1.7                 0.3470283197495147    0.05635855641733015   5.4     6.9     0.04714820133798023    0.03689859235146279     
atlas_1609_01599     4lSF2b                    1.0    0.9    0.1                 0                     0.0                   3.6     3.0     0.0                    0.0                     
atlas_1704_03848     SRE2                      493.0  501.0  44.0                0                     0.0                   86.0    90.0    0.0                    0.0                     
atlas_1706_03731     Rpv2L1bM                  9.0    4.8    1.6                 0.09402635865512263   0.09402642020132745   11.2    7.3     0                      0                       
atlas_1708_07875     sr1-lowmass               10.0   14.0   6.0                 0.2837627485151238    0.16384747728679316   9.386   11.191  0.0016037594038763084  0.0013450885322833553   
atlas_1709_04183     SRE                       3.0    3.6    0.8                 2.0899835648135903    0.4567257858658377    4.8     5.5     0.2793652658320035     0.24380968654429394     
atlas_1712_02332     2j-3600                   5.0    3.3    0.8                 8.321729429902737     0.8928389403690832    7.0     5.3     0.9796390810996344     1.293862937301404       
atlas_1712_08119     SRM-MT2-999               13.0   11.0   1.4                 0                     0.0                   10.0    8.0     0.0                    0.0                     
atlas_1802_03158     SRajH                     3.0    1.14   0.5008492787256461  0.28545879342899305   0.16483209654265293   6.29    4.12    0.002406065993488435   0.0036733386162723924   
atlas_1803_02762     S-3l-slep-e               0.0    1.1    0.2                 0                     0.0                   3.1     3.8     0.0                    0.0                     
atlas_1807_07447     MET1b5j                   15.0   18.2   3.7                 0.23902516382561234   0.046046165781436936  8.7     11.1    0.0187941898786271     0.01473058125622124     
atlas_1908_03122     SRC28                     3.0    2.4    0.6                 1.932048758944958     0.8640531905895952    5.2     4.8     0.09903875507269651    0.10729198466208789     
atlas_1908_08215     SR-DF-1Ji                 3.0    2.7    0.8                 0                     0.0                   5.4     5.1     0.0                    0.0                     
atlas_1909_08457     Rpv2L                     5.0    5.6    1.8                 0.7957535882965838    0.5626958887466456    6.2     6.7     0                      0                       
atlas_1911_06660     SRhighMass                7.0    10.2   3.3                 1.123549822026413     0.6492022960800241    6.7     8.6     0.008784784545548284   0.006843960052927152    
atlas_1911_12606     S-low-mm-40               28.0   28.0   2.7                 0                     0.0                   13.0    13.0    0.0                    0.0                     
atlas_2004_10894     Cat12                     22.0   16.6   1.7                 0                     0.0                   15.2    9.9     0.0                    0.0                     
atlas_2004_14060     SRA-TT                    4.0    3.2    0.5                 7.004145695049003     1.652449514952909     5.9     5.3     0.7278183882247851     0.8102129227407985      
atlas_2006_05880     SR-h-1AB-MB               3.0    7.48   1.22                0                     0.0                   3.99    6.88    0.0                    0.0                     
atlas_2010_14293     SR-2j-2800                78.0   87.0   8.0                 51.33054677293956     4.341049116522599     18.0    24.0    2.4561792345468056     1.8421344259101042      
atlas_2101_01629     6J_btag_2800              2.0    2.4    1.0                 3.183984992569008     1.1273777282624284    4.4     5.0     0.30342852686786936    0.2670171036437251      
atlas_2102_10874     EM12                      207.0  218.0  9.0                 22.19508872234534     2.843230465955848     28.0    35.0    0.6261496699349196     0.5009197359479357      
