analysis             sr                         o          b          db                  s                     ds                    s95obs    s95exp    robscons                rexpcons                
atlas_1604_01306     SR1                        264.0      295.0      34.0                0                     0.0                   49.0      63.0      0.0                     0.0                     
atlas_1605_09318     SR-Gbb-A                   0.0        1.3        0.4                 0.1304262023133922    0.034889355442642406  2.9       3.9       0.02524402047843402     0.01877119471473299     
atlas_1605_09318     SR-Gbb-B                   0.0        1.5        0.6                 0.14919359638869642   0.03732803727173553   3.0       3.8       0.02932520508768338     0.02315147770080267     
atlas_1605_09318     SR-Gbb-C                   5.0        7.6        1.7                 0.3470283197495147    0.05635855641733015   5.4       6.9       0.04714820133798023     0.03689859235146279     
atlas_1605_09318     SR-Gtt-0L-A                1.0        2.1        0.5                 0.20292607114712305   0.04330214826940042   3.5       4.4       0.03768872799580182     0.02997966999666054     
atlas_1605_09318     SR-Gtt-0L-B                1.0        2.9        1.8                 0.04603536914313519   0.02058806845192658   3.6       4.6       0.0034085935783265556   0.0026675949743425217   
atlas_1605_09318     SR-Gtt-0L-C                1.0        3.4        1.8                 0.04603536914313519   0.02058806845192658   3.4       5.0       0.003609099082934       0.00245418737639512     
atlas_1605_09318     SR-Gtt-1L-A                2.0        1.2        0.6                 0.1051984892078721    0.031754116140888924  4.7       4.0       0.011302497603577504    0.013280434684203568    
atlas_1605_09318     SR-Gtt-1L-B                0.0        1.2        0.8                 0.10492893617808995   0.031669381390212095  2.9       3.5       0.018272810585566245    0.015140328770897746    
atlas_1609_01599     2muSS                      9.0        5.5        1.6                 0                     0.0                   10.4      7.4       0.0                     0.0                     
atlas_1609_01599     3lZ1b4j                    7.0        11.0       2.8                 0                     0.0                   6.0       8.7       0.0                     0.0                     
atlas_1609_01599     3lZ2b3j                    4.0        2.8        0.5                 0                     0.0                   6.3       5.1       0.0                     0.0                     
atlas_1609_01599     3lZ2b4j                    8.0        7.2        0.9                 0                     0.0                   7.9       6.9       0.0                     0.0                     
atlas_1609_01599     3lnoZ2b                    10.0       7.7        2.2                 0                     0.0                   10.2      8.3       0.0                     0.0                     
atlas_1609_01599     4lDF1b                     2.0        1.1        0.1                 0                     0.0                   4.7       3.9       0.0                     0.0                     
atlas_1609_01599     4lDF2b                     0.9        1.0        0.1                 0                     0.0                   3.0       3.0       0.0                     0.0                     
atlas_1609_01599     4lSF1b                     1.0        1.1        0.1                 0                     0.0                   3.6       4.0       0.0                     0.0                     
atlas_1609_01599     4lSF2b                     1.0        0.9        0.1                 0                     0.0                   3.6       3.0       0.0                     0.0                     
atlas_1704_03848     SRE1                       1671.0     1900.0     140.0               0                     0.0                   150.0     236.0     0.0                     0.0                     
atlas_1704_03848     SRE2                       493.0      501.0      44.0                0                     0.0                   86.0      90.0      0.0                     0.0                     
atlas_1704_03848     SRI1                       2400.0     2600.0     160.0               0                     0.0                   194.0     284.0     0.0                     0.0                     
atlas_1704_03848     SRI2                       729.0      765.0      59.0                0                     0.0                   96.0      116.0     0.0                     0.0                     
atlas_1704_03848     SRI3                       236.0      273.0      37.0                0                     0.0                   47.0      64.0      0.0                     0.0                     
atlas_1706_03731     Rpc2L0bH                   3.0        2.4        1.0                 0.20666693911875306   0.14613900419966835   5.6       5.1       0                       0                       
atlas_1706_03731     Rpc2L0bS                   7.0        6.0        1.8                 0.10403405467729394   0.10403416754053363   8.3       7.3       0                       0                       
atlas_1706_03731     Rpc2L1bH                   13.0       9.8        2.6                 0.19545061777726064   0.13830345896174298   11.9      9.6       0                       0                       
atlas_1706_03731     Rpc2L1bS                   14.0       9.8        2.9                 0.19545061777726064   0.13830345896174298   13.5      9.9       0                       0                       
atlas_1706_03731     Rpc2L2bH                   0.0        1.08       0.32                0.19545061777726064   0.13830345896174298   3.02      3.6       0                       0                       
atlas_1706_03731     Rpc2L2bS                   3.0        3.3        1.0                 0.19545061777726064   0.13830345896174298   5.1       5.4       0                       0                       
atlas_1706_03731     Rpc2Lsoft1b                4.0        5.8        2.5                 0                     0.0                   5.6       6.6       0.0                     0.0                     
atlas_1706_03731     Rpc2Lsoft2b                5.0        3.8        1.6                 0                     0.0                   7.2       6.2       0.0                     0.0                     
atlas_1706_03731     Rpc3L0bH                   3.0        3.3        0.8                 0.19519595328259456   0.13820782919044525   5.2       5.5       0                       0                       
atlas_1706_03731     Rpc3L0bS                   9.0        11.0       3.0                 0.19519595328259456   0.13820782919044525   8.0       9.0       0                       0                       
atlas_1706_03731     Rpc3L1bH                   4.0        3.9        0.9                 0.1014245168797237    0.10142458037319606   5.7       5.7       0                       0                       
atlas_1706_03731     Rpc3L1bS                   20.0       17.0       4.0                 0.1014245168797237    0.10142458037319606   14.0      12.0      0                       0                       
atlas_1706_03731     Rpc3LSS1b                  1.0        1.6        0.8                 0                     0.0                   3.8       4.2       0.0                     0.0                     
atlas_1706_03731     Rpv2L0b                    2.0        1.0        0.4                 0.20666693911875306   0.14613900419966835   4.8       4.1       0                       0                       
atlas_1706_03731     Rpv2L1bH                   2.0        1.6        0.4                 0.09402635865512263   0.09402642020132745   4.4       4.0       0                       0                       
atlas_1706_03731     Rpv2L1bM                   9.0        4.8        1.6                 0.09402635865512263   0.09402642020132745   11.2      7.3       0                       0                       
atlas_1706_03731     Rpv2L1bS                   26.0       25.0       7.0                 0.09402635865512263   0.09402642020132745   17.0      16.0      0                       0                       
atlas_1706_03731     Rpv2L2bH                   1.0        1.6        0.5                 0.09402635865512263   0.09402642020132745   3.7       4.0       0                       0                       
atlas_1706_03731     Rpv2L2bS                   20.0       19.0       7.0                 0.09402635865512263   0.09402642020132745   16.0      15.0      0                       0                       
atlas_1708_07875     sr1-lowmass                10.0       14.0       6.0                 0.2837627485151238    0.16384747728679316   9.386     11.191    0.0016037594038763084   0.0013450885322833553   
atlas_1708_07875     sr2-highmass               5.0        3.7        1.4                 0                     0.0                   7.22      6.137     0.0                     0.0                     
atlas_1709_04183     SRA-T0                     18.0       18.7       2.7                 1.583420314375929     0.39639144533609333   10.4      10.8      0.08974407154083999     0.0864202170393274      
atlas_1709_04183     SRA-TT                     11.0       8.6        2.1                 2.3155420729030585    0.4832696967310671    10.6      8.3       0.14367733681736872     0.18349153858603715     
atlas_1709_04183     SRA-TW                     9.0        9.3        2.2                 0.709312789769031     0.26825370759395245   8.1       8.3       0.033256383866043085    0.032455025218668554    
atlas_1709_04183     SRB-T0                     206.0      179.0      26.0                1.5010100590777107    0.38804888750879085   76.0      57.0      0.011376445836359128    0.015168594448478838    
atlas_1709_04183     SRB-TT                     38.0       39.3       7.6                 2.6285603073944985    0.5159222676346759    17.9      19.3      0.0995780887415436      0.09235480769293421     
atlas_1709_04183     SRB-TW                     53.0       52.4       7.4                 1.0185961168437587    0.32237324009563717   20.7      20.5      0.023666860052507916    0.023897756248142138    
atlas_1709_04183     SRC1                       20.0       20.5       6.6                 0                     0.0                   14.1      14.9      0.0                     0.0                     
atlas_1709_04183     SRC2                       22.0       27.6       4.9                 0                     0.0                   10.4      13.5      0.0                     0.0                     
atlas_1709_04183     SRC3                       22.0       18.9       3.4                 0                     0.0                   14.3      12.7      0.0                     0.0                     
atlas_1709_04183     SRC4                       1.0        7.7        1.2                 0                     0.0                   5.2       6.8       0.0                     0.0                     
atlas_1709_04183     SRC5                       0.0        0.9        0.7                 0                     0.0                   3.0       3.2       0.0                     0.0                     
atlas_1709_04183     SRD-high                   11.0       8.5        1.5                 1.7164902455665272    0.41667053874833954   9.9       7.7       0.1043586426282071      0.1341753976648377      
atlas_1709_04183     SRD-low                    27.0       25.1       6.2                 2.3531489046558733    0.49093449252634364   16.7      15.9      0.09269558903668682     0.097359518044822       
atlas_1709_04183     SRE                        3.0        3.6        0.8                 2.0899835648135903    0.4567257858658377    4.8       5.5       0.2793652658320035      0.24380968654429394     
atlas_1712_02332     2j-1200                    582.0      517.0      31.0                12.427189151809088    1.0953120408569272    128.0     77.0      0.08305372972502913     0.13806334291952893     
atlas_1712_02332     2j-1600                    204.0      216.0      18.0                16.077113892517705    1.2415195872040494    38.0      43.0      0.3695005728816596      0.32653538998844334     
atlas_1712_02332     2j-2000                    70.0       88.0       9.0                 14.90759039894644     1.194638979296052     15.0      24.0      0.8632254981933942      0.5395159363708714      
atlas_1712_02332     2j-2100                    180.0      143.0      13.0                14.842661263110015    1.1931392333712476    67.0      37.0      0.1923270585131518      0.34826791676705865     
atlas_1712_02332     2j-2400                    33.0       40.0       4.0                 14.321294994525923    1.1703273061985748    11.0      15.0      1.1274507465782053      0.8267972141573506      
atlas_1712_02332     2j-2800                    17.0       15.5       1.9                 12.657263572799925    1.0982409187121123    10.7      9.7       1.0145933145899122      1.1191905635167074      
atlas_1712_02332     2j-3600                    5.0        3.3        0.8                 8.321729429902737     0.8928389403690832    7.0       5.3       0.9796390810996344      1.293862937301404       
atlas_1712_02332     2j-B1600                   23.0       21.0       4.0                 1.4036524413850735    0.36248818690816004   14.0      13.0      0.057797986775406505    0.06224398575813009     
atlas_1712_02332     2j-B2400                   2.0        3.9        1.0                 1.4036524413850735    0.36248818690816004   4.1       5.6       0.19735897923309542     0.14449496693851627     
atlas_1712_02332     3j-1300                    405.0      378.0      28.0                20.65231103859356     1.4097619877925025    86.0      67.0      0.21325931835597506     0.2737358414718486      
atlas_1712_02332     4j-1000                    135.0      120.0      11.0                2.0596738503117846    0.44988483564886106   43.0      31.0      0.030740993484829126    0.04264073289831137     
atlas_1712_02332     4j-1400                    179.0      169.0      15.0                5.123834167226415     0.7114398869606988    46.0      39.0      0.08602332070893194     0.10146340391309921     
atlas_1712_02332     4j-1800                    53.0       43.0       6.0                 4.723613963918698     0.6826509048987434    27.0      19.0      0.13348394369943553     0.1896877094676189      
atlas_1712_02332     4j-2200                    23.0       15.4       2.2                 4.116053558678393     0.6358901057895987    17.6      10.2      0.17461328324905973     0.3012935083513188      
atlas_1712_02332     4j-2600                    4.0        4.0        1.2                 2.936812604126448     0.5367451277914517    5.8       6.1       0.354577688715253       0.337139441729257       
atlas_1712_02332     4j-3000                    2.0        1.8        0.6                 2.6401336229921775    0.5086570197178931    4.4       4.3       0.4104400251488256      0.41998514201275183     
atlas_1712_02332     5j-1600                    122.0      119.0      12.0                3.9716319834138134    0.628767389965534     34.0      32.0      0.0864839254079511      0.09188917074594805     
atlas_1712_02332     5j-1700                    45.0       39.0       5.0                 6.602718315148118     0.8014329572552544    21.0      17.0      0.25182706024997625     0.3110804861911471      
atlas_1712_02332     5j-2000                    52.0       58.0       7.0                 8.853174020087481     0.9290936445693184    16.0      20.0      0.45809127768711244     0.36647302214968996     
atlas_1712_02332     5j-2600                    10.0       5.7        1.3                 5.562511802319739     0.7375399005884649    11.3      7.2       0.38521649250926165     0.6045758840770357      
atlas_1712_02332     6j-1200                    250.0      249.0      30.0                5.438633506635004     0.7340658185673815    62.0      64.0      0.06830267039007254     0.06616821194038278     
atlas_1712_02332     6j-1800                    9.0        3.0        1.3                 1.3930482943096052    0.3727347593054732    12.8      7.2       0.06107525695692416     0.10857823459008739     
atlas_1712_02332     6j-2200                    3.0        1.6        0.5                 0.8107893736810649    0.2868854666097557    5.8       4.2       0.05867193248983888     0.08102314486692035     
atlas_1712_02332     6j-2600                    1.0        0.8        0.6                 0.8058919795528712    0.28508967787273515   3.5       3.5       0.09666997366902444     0.09666997366902444     
atlas_1712_08119     SRE-MLL-03                 0.0        0.01       0.1                 0                     0.0                   2.97      2.99      0.0                     0.0                     
atlas_1712_08119     SRE-MLL-05                 1.0        0.6        0.7                 0                     0.0                   3.8       3.5       0.0                     0.0                     
atlas_1712_08119     SRE-MLL-10                 1.0        2.4        1.0                 0                     0.0                   3.6       4.5       0.0                     0.0                     
atlas_1712_08119     SRE-MLL-20                 10.0       8.3        1.6                 0                     0.0                   9.0       7.7       0.0                     0.0                     
atlas_1712_08119     SRE-MLL-30                 4.0        4.0        1.0                 0                     0.0                   5.9       5.8       0.0                     0.0                     
atlas_1712_08119     SRE-MLL-40                 6.0        2.4        0.6                 0                     0.0                   9.1       5.2       0.0                     0.0                     
atlas_1712_08119     SRE-MLL-60                 2.0        1.4        0.5                 0                     0.0                   4.6       4.0       0.0                     0.0                     
atlas_1712_08119     SRE-MT2-102                3.0        3.5        1.2                 0                     0.0                   5.0       5.5       0.0                     0.0                     
atlas_1712_08119     SRE-MT2-105                10.0       11.0       2.0                 0                     0.0                   8.0       8.0       0.0                     0.0                     
atlas_1712_08119     SRE-MT2-110                37.0       33.0       4.0                 0                     0.0                   18.0      15.0      0.0                     0.0                     
atlas_1712_08119     SRE-MT2-120                42.0       42.0       4.0                 0                     0.0                   16.0      16.0      0.0                     0.0                     
atlas_1712_08119     SRE-MT2-130                10.0       15.7       2.0                 0                     0.0                   6.2       9.7       0.0                     0.0                     
atlas_1712_08119     SRE-MT2-999                7.0        7.5        1.1                 0                     0.0                   6.7       7.1       0.0                     0.0                     
atlas_1712_08119     SRI-MLL-03                 1.0        1.7        0.9                 0                     0.0                   3.6       4.3       0.0                     0.0                     
atlas_1712_08119     SRI-MLL-05                 4.0        3.1        1.2                 0                     0.0                   6.5       5.5       0.0                     0.0                     
atlas_1712_08119     SRI-MLL-10                 12.0       8.9        2.5                 0                     0.0                   11.4      9.3       0.0                     0.0                     
atlas_1712_08119     SRI-MLL-20                 34.0       29.0       6.0                 0                     0.0                   20.0      17.0      0.0                     0.0                     
atlas_1712_08119     SRI-MLL-30                 40.0       38.0       6.0                 0                     0.0                   19.0      18.0      0.0                     0.0                     
atlas_1712_08119     SRI-MLL-40                 48.0       41.0       7.0                 0                     0.0                   26.0      20.0      0.0                     0.0                     
atlas_1712_08119     SRI-MLL-60                 52.0       43.0       7.0                 0                     0.0                   27.0      20.0      0.0                     0.0                     
atlas_1712_08119     SRI-MT2-102                8.0        12.4       3.1                 0                     0.0                   6.6       8.8       0.0                     0.0                     
atlas_1712_08119     SRI-MT2-105                34.0       38.0       7.0                 0                     0.0                   15.0      18.0      0.0                     0.0                     
atlas_1712_08119     SRI-MT2-110                131.0      129.0      18.0                0                     0.0                   42.0      40.0      0.0                     0.0                     
atlas_1712_08119     SRI-MT2-120                215.0      232.0      29.0                0                     0.0                   47.0      58.0      0.0                     0.0                     
atlas_1712_08119     SRI-MT2-130                257.0      271.0      32.0                0                     0.0                   54.0      64.0      0.0                     0.0                     
atlas_1712_08119     SRI-MT2-999                277.0      289.0      33.0                0                     0.0                   59.0      66.0      0.0                     0.0                     
atlas_1712_08119     SRM-MLL-03                 1.0        1.1        0.6                 0                     0.0                   3.6       3.6       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-05                 2.0        1.3        0.6                 0                     0.0                   4.6       4.1       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-10                 7.0        4.9        1.3                 0                     0.0                   8.5       6.6       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-20                 12.0       13.1       2.2                 0                     0.0                   8.5       9.4       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-30                 2.0        4.2        1.0                 0                     0.0                   3.9       5.5       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-40                 2.0        1.4        0.6                 0                     0.0                   4.4       4.1       0.0                     0.0                     
atlas_1712_08119     SRM-MLL-60                 2.0        1.6        0.6                 0                     0.0                   4.4       4.2       0.0                     0.0                     
atlas_1712_08119     SRM-MT2-102                5.0        6.8        1.5                 0                     0.0                   5.7       6.8       0.0                     0.0                     
atlas_1712_08119     SRM-MT2-105                16.0       15.0       2.1                 0                     0.0                   11.0      10.0      0.0                     0.0                     
